"species","decimalLatitude","decimalLongitude","family","a_habit","habitat_iucn","habitat_name"
"Anisotes tanensis",-5.61667,37.4667,"Acanthaceae","shrub",106,"Forest – Subtropical/tropical moist lowland"
"Anisotes sessiliflorus subsp. iringensis",-7.59111,36.3358,"Acanthaceae","shrub",201,"Savanna – Dry"
"Anisotes spectabilis",-6.88333,37.6667,"Acanthaceae","shrub",1402,"Artificial – Pastureland"
"Anisotes spectabilis",-7.76667,36.5333,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Anisotes pubinervis",-4.76667,38.4833,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Anisotes spectabilis",-6.08333,37.45,"Acanthaceae","shrub",106,"Forest – Subtropical/tropical moist lowland"
"Anisotes pubinervis",-3.36388,36.8306,"Acanthaceae","shrub",201,"Savanna – Dry"
"Anisotes pubinervis",-3.71667,37.6667,"Acanthaceae","shrub",202,"Savanna – Moist"
"Anisotes pubinervis",-4.23333,37.95,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Anisotes pubinervis",-3.28333,36.9333,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Anisotes spectabilis",-7.2,37.6167,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Anisotes umbrosus",-6.36667,36.6667,"Acanthaceae","shrub",1404,"Artificial – Rural Gardens"
"Asystasia gangetica",-8.43333,38.3667,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia schimperi",-2.26667,34.85,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-5.1,38.6333,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Asystasia schimperi",-2.35,34.85,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia schimperi",-2.25,34.8833,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia schimperi",-1.68333,33.8167,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia schimperi",-2.6,30.5,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia schimperi",-2.48333,30.6333,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia schimperi",-2.48333,30.6333,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia leptostachya",-7.03333,37.6333,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia gangetica",-5.08333,38.4333,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia gangetica",-5.83333,34.95,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia linearis",-9.28333,33.6167,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Asystasia gangetica subsp. micrantha",-5.15,38.4167,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-1.31667,31.8,"Acanthaceae","herb",1404,"Artificial – Rural Gardens"
"Asystasia mysurensis",-8.03333,31.65,"Acanthaceae","herb",1404,"Artificial – Rural Gardens"
"Asystasia schimperi",-2.68333,35.0167,"Acanthaceae","herb",405,"Grassland – Subtropical/tropical dry"
"Asystasia gangetica",-2.48333,30.6333,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia leptostachya",-10.1667,39.3,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia linearis",-8.46667,38.55,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-2.5,30.6167,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-9.28333,33.6167,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Asystasia gangetica",-4.86666,29.6333,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Asystasia gangetica",-1.12138,31.4811,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-8.81666,33.2667,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Asystasia gangetica",-6.95972,39.493,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia leptostachya",-1.0675,31.5992,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia schliebenii",-6.11667,37.55,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-4.94527,38.6894,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Asystasia gangetica",-4.98722,38.6942,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-1.03888,31.5317,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia hedbergii",-4.6775,29.6217,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-7.2,37.2167,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-1.03888,31.5317,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia gangetica",-1.01611,31.6155,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-4.68194,29.6228,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Asystasia minutiflora",-5.1,38.6167,"Acanthaceae","herb",106,"Forest – Subtropical/tropical moist lowland"
"Asystasia albiflora",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Asystasia moorei",-5.06139,38.7389,"Acanthaceae","herb",106,"Forest – Subtropical/tropical moist lowland"
"Asystasia gangetica",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Asystasia gangetica",-5.06138,38.6328,"Acanthaceae","herb",106,"Forest – Subtropical/tropical moist lowland"
"Asystasia gangetica",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Asystasia glandulosa",-8.25,35.0167,"Acanthaceae","herb",1404,"Artificial – Rural Gardens"
"Asystasia gangetica",-6,37.7167,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-4.31833,37.9894,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Asystasia albiflora",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Asystasia gangetica",-6.28333,38.5667,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-1.0425,31.4964,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-5.02389,38.6369,"Acanthaceae","herb",202,"Savanna – Moist"
"Asystasia gangetica",-4.6775,29.6217,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia leptostachya",-1.10555,31.5769,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia vogeliana",-1.10555,31.5769,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-7.28333,37.2,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia albiflora",-4.69417,29.6233,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-1.10555,31.5769,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-9.56666,34.1167,"Acanthaceae","herb",505,"Wetlands (inland) – Permanent freshwater lakes (>8 ha)"
"Asystasia mysurensis",-2.57694,33.4558,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia moorei",-4.86389,38.7831,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Asystasia gangetica",-4.91527,38.7258,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia tanzaniensis",-7.01667,37.8167,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Asystasia gangetica",-3.25,36.75,"Acanthaceae","herb",600,"Rocky Areas"
"Asystasia minutiflora",-6.06667,37.5167,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Asystasia moorei",-5.53333,38.6333,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-5.53333,38.6333,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-6.15,38.6,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia albiflora",-8.85,33.2833,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Asystasia leptostachya",-6.96666,37.85,"Acanthaceae","herb",407,"Grassland – Subtropical/tropical high altitude"
"Asystasia moorei",-5.53333,38.6333,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-6.96666,38.9,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-6.15,38.6,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-6.15,38.6,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-5.04222,38.4453,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia moorei",-4.79917,38.7978,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia mysurensis",-4.84166,35.2305,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Asystasia gangetica subsp. micrantha",-5.01277,38.7597,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-5.05972,38.4133,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia glandulosa",-4.87888,32.7547,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-6.96666,37.85,"Acanthaceae","herb",407,"Grassland – Subtropical/tropical high altitude"
"Asystasia gangetica",-7.80555,36.8711,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-7.80583,36.6875,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-6.28333,38.5667,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-7.90555,36.7042,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia moorei",-6,37.7167,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia leptostachya",-6.88333,37.9167,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-7.86611,36.8686,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-6.81667,39.2667,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-8.68333,36.7167,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Asystasia moorei",-6,37.7167,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-6.71361,39.0794,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-6.81667,39.2667,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia leptostachya",-6.96666,37.85,"Acanthaceae","herb",407,"Grassland – Subtropical/tropical high altitude"
"Asystasia gangetica",-2.72138,36.7044,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Asystasia gangetica",-6.81666,39.2667,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica",-4.64583,29.6228,"Acanthaceae","herb",505,"Wetlands (inland) – Permanent freshwater lakes (>8 ha)"
"Asystasia charmian",-4.71805,34.6986,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia minutiflora",-6.07778,37.5469,"Acanthaceae","herb",106,"Forest – Subtropical/tropical moist lowland"
"Asystasia gangetica",-4.96666,38.75,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Asystasia tanzaniensis",-7.17,37.52,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia gangetica",-6.94666,36.6281,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Asystasia gangetica",-5.53333,38.6333,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia moorei",-6.88333,37.9167,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia albiflora",-5.99805,37.7433,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Asystasia mysurensis",-1.03138,31.5397,"Acanthaceae","herb",1404,"Artificial – Rural Gardens"
"Asystasia schliebenii",-8.68333,36.8,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia leptostachya",-6.88333,37.9167,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia richardsiae",-7.48,30.98,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia gangetica subsp. micrantha",-10.17,39.3,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia glandulosa",-8.23,34.97,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia mysurensis",-7.97,31.65,"Acanthaceae","herb",1404,"Artificial – Rural Gardens"
"Asystasia albiflora",-7.72,31.53,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia richardsiae",-5.88,32.63,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia mysurensis",-5.75,34.7,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia mysurensis",-4.95,35.8,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Asystasia albiflora",-8.35,32.92,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia richardsiae",-5.32,32.7,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Asystasia mysurensis",-5.07,35.8,"Acanthaceae","herb",201,"Savanna – Dry"
"Asystasia leptostachya",-7.72,36.9,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia gangetica",-6.8,39.25,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Asystasia gangetica",-7.46667,30.9167,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Asystasia hedbergii",-5.93333,30.2167,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Asystasia hedbergii",-6,30,"Acanthaceae","shrub",201,"Savanna – Dry"
"Avicennia marina",-5.33333,38.95,"Acanthaceae","tree",1402,"Artificial – Pastureland"
"Avicennia marina",-5.13,39.12,"Acanthaceae","tree",908,"Marine Neritic – Coral Reef"
"Avicennia marina",-5.41667,38.9833,"Acanthaceae","tree",306,"Shrubland – Subtropical/tropical moist"
"Avicennia marina",-5.41667,38.9833,"Acanthaceae","tree",306,"Shrubland – Subtropical/tropical moist"
"Avicennia marina",-6.03333,38.7833,"Acanthaceae","tree",507,"Wetlands (inland) – Permanent freshwater marshes/pools (<8 ha)"
"Avicennia marina",-8.95916,39.4906,"Acanthaceae","tree",900,NA
"Avicennia marina",-8.96115,39.4915,"Acanthaceae","tree",105,"Forest – Subtropical/tropical dry"
"Avicennia marina",-6.03333,38.7833,"Acanthaceae","tree",507,"Wetlands (inland) – Permanent freshwater marshes/pools (<8 ha)"
"Avicennia marina",-6.81666,39.2667,"Acanthaceae","tree",201,"Savanna – Dry"
"Barleria vollesenii",-10.9167,38.8333,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Barleria calophylloides subsp. pilosa",-8.76667,34.4333,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Barleria griseoviridis",-7.46667,30.75,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria inclusa",-4.95,33.0333,"Acanthaceae","herb",1401,"Artificial – Arable Land"
"Barleria fulvostellata subsp. scariosa",-8.58333,37.2667,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Barleria fulvostellata",-7.81667,37.8833,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria prionitis",-8.46667,38.55,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria sacleuxii",-8.46667,38.55,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria delamerei",-7.71667,37.9833,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria calophylloides",-8.6,38.4667,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria lugardii",-8.88333,34,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria lugardii",-7.33333,36.6167,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Barleria hirta",-5.01667,38.7667,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Barleria diacanthus",-8.3,36.35,"Acanthaceae","shrub",1401,"Artificial – Arable Land"
"Barleria ventricosa",-3.25,36.8333,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Barleria holstii",-7.61667,37.7833,"Acanthaceae","herb",1403,"Artificial – Plantations"
"Barleria usambarica",-5.01667,38.7667,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Barleria submollis",-3.6,37.7,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria stuhlmannii",-2.83305,36.2119,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria lactiflora",-8.9,33.2,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria nyasensis",-9,34.2333,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
