"species","decimalLatitude","decimalLongitude","family","a_habit","habitat_iucn","habitat_name"
"Royena whyteana",-6.13333,37.5333,"Ebenaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Royena zombensis",-4.99444,34.6889,"Ebenaceae","tree",1401,"Artificial – Arable Land"
"Royena zombensis",-5.44416,30.5897,"Ebenaceae","tree",105,"Forest – Subtropical/tropical dry"
"Royena fischeri",-6.69888,31.0231,"Ebenaceae","shrub",201,"Savanna – Dry"
"Royena zombensis",-6.91333,36.595,"Ebenaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Royena whyteana",-7.68194,36.6167,"Ebenaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Royena zombensis",-8.68277,36.5031,"Ebenaceae","tree",105,"Forest – Subtropical/tropical dry"
"Royena whyteana",-9.14361,34.42,"Ebenaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Royena fischeri",-8.57277,36.5031,"Ebenaceae","shrub",201,"Savanna – Dry"
"Royena zombensis",-8.06083,36.3369,"Ebenaceae","tree",105,"Forest – Subtropical/tropical dry"
"Royena whyteana",-6.93777,36.5825,"Ebenaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Royena zombensis",-8.5675,36.4986,"Ebenaceae","tree",201,"Savanna – Dry"
"Royena whyteana",-9.76666,34.5167,"Ebenaceae","tree",1404,"Artificial – Rural Gardens"
"Royena fischeri",-4.88611,35.0153,"Ebenaceae","shrub",201,"Savanna – Dry"
"Royena zombensis",-7.84111,36.8383,"Ebenaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Royena whyteana",-7.78333,36.8667,"Ebenaceae","tree",105,"Forest – Subtropical/tropical dry"
"Royena fischeri",-8.88527,34.4142,"Ebenaceae","shrub",202,"Savanna – Moist"
"Royena zombensis",-10.6167,39.0667,"Ebenaceae","tree",1401,"Artificial – Arable Land"
"Royena zombensis",-7.19306,36.8142,"Ebenaceae","tree",105,"Forest – Subtropical/tropical dry"
"Royena fischeri",-4.82,35.0778,"Ebenaceae","shrub",1404,"Artificial – Rural Gardens"
"Royena whyteana",-7.77944,36.4739,"Ebenaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Royena fischeri",-4.85278,34.8875,"Ebenaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Royena zombensis",-9.65833,39.3867,"Ebenaceae","tree",105,"Forest – Subtropical/tropical dry"
"Royena fischeri",-4.78833,34.2606,"Ebenaceae","shrub",201,"Savanna – Dry"
"Royena whyteana",-8.08305,31.3008,"Ebenaceae","tree",202,"Savanna – Moist"
"Royena whyteana",-8.98333,33.65,"Ebenaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Royena zombensis",-6.94666,36.6281,"Ebenaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Royena whyteana",-7.09305,36.6506,"Ebenaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Royena zombensis",-8.97472,34.2189,"Ebenaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Royena zombensis",-7.845,36.8055,"Ebenaceae","tree",106,"Forest – Subtropical/tropical moist lowland"
"Royena zombensis",-9.18861,33.8611,"Ebenaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Royena whyteana",-8.05,35.9167,"Ebenaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Royena zombensis",-9,36.8333,"Ebenaceae","tree",201,"Savanna – Dry"
"Bergia ammannioides",-5.87,35.1,"Elatinaceae","herb",201,"Savanna – Dry"
"Bergia decumbens",-9.11667,38.2,"Elatinaceae","herb",201,"Savanna – Dry"
"Equisetum ramosissimum",-9.28333,33.6167,"Equisetaceae","herb",1403,"Artificial – Plantations"
"Equisetum ramosissimum",-8.83972,33.2375,"Equisetaceae","herb",1404,"Artificial – Rural Gardens"
"Equisetum ramosissimum",-9.9,34.5333,"Equisetaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Equisetum ramosissimum subsp. ramosissimum",-9.04389,34.7564,"Equisetaceae","herb",1401,"Artificial – Arable Land"
"Equisetum ramosissimum subsp. ramosissimum",-6.91333,36.595,"Equisetaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Equisetum ramosissimum",-8.81667,36.7333,"Equisetaceae","herb",105,"Forest – Subtropical/tropical dry"
"Equisetum ramosissimum",-8.61333,35.6303,"Equisetaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Equisetum ramosissimum",-8.58333,37.5833,"Equisetaceae","herb",201,"Savanna – Dry"
"Agarista salicifolia",-9.11917,33.9186,"Ericaceae","tree",1401,"Artificial – Arable Land"
"Agarista salicifolia",-3.23333,36.8,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-6.46167,36.9511,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-7.75,36.4833,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-7.11361,37.6103,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-4.305,37.9097,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Agarista salicifolia",-8.6,35.3,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-7.43333,36.7333,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-8.59972,35.62,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Agarista salicifolia",-7.07583,36.6428,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Agarista salicifolia",-7.75,36.4833,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-4.29055,37.925,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Agarista salicifolia",-7.69277,36.8592,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-4.25027,37.9706,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-4.25,37.9167,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Agarista salicifolia",-8.98,33.98,"Ericaceae","tree",1401,"Artificial – Arable Land"
"Agarista salicifolia",-10.0333,34.5833,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-9,33.7,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-8.6,35.6333,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-4.35638,38.0083,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Agarista salicifolia",-5.07194,38.4478,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-8.60611,35.6286,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Agarista salicifolia",-7.11138,36.6389,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-9.18333,33.3,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-6.93305,36.5731,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-9.14611,33.7258,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-4.32777,37.9683,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-6.98333,37.7333,"Ericaceae","tree",105,"Forest – Subtropical/tropical dry"
"Agarista salicifolia",-7.78333,36.8667,"Ericaceae","tree",105,"Forest – Subtropical/tropical dry"
"Agarista salicifolia",-9.17611,34.3394,"Ericaceae","tree",1401,"Artificial – Arable Land"
"Agarista salicifolia",-6.06667,37.4964,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-8.555,35.5264,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Agarista salicifolia",-4.26555,37.9305,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-6.0725,37.5355,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-6.06305,37.4883,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Agarista salicifolia",-3.16666,37.5167,"Ericaceae","tree",1402,"Artificial – Pastureland"
"Agarista salicifolia",-3.02167,37.1833,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica filago",-3.08333,37.4639,"Ericaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Erica silvatica",-3.21667,36.7833,"Ericaceae","shrub",407,"Grassland – Subtropical/tropical high altitude"
"Erica whyteana",-9.1,33.9,"Ericaceae","shrub",1401,"Artificial – Arable Land"
"Erica mannii",-7.55778,36.1631,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica arborea",-3.1,37.2667,"Ericaceae","shrub",407,"Grassland – Subtropical/tropical high altitude"
"Erica kingaensis",-9.28333,33.6167,"Ericaceae","shrub",1403,"Artificial – Plantations"
"Erica silvatica",-3.25,36.75,"Ericaceae","shrub",600,"Rocky Areas"
"Erica silvatica",-7.16667,37.6667,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica kingaensis",-9.28333,33.6167,"Ericaceae","shrub",1403,"Artificial – Plantations"
"Erica silvatica",-9.11917,33.9186,"Ericaceae","shrub",1401,"Artificial – Arable Land"
"Erica arborea",-9.28333,33.6167,"Ericaceae","shrub",1403,"Artificial – Plantations"
"Erica silvatica",-9.03333,33.9167,"Ericaceae","shrub",1401,"Artificial – Arable Land"
"Erica benguelensis",-4.305,37.9097,"Ericaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Erica trimera",-7.11027,36.6408,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica benguelensis",-4.30972,37.9758,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica rossii",-4.16916,37.9014,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. pallidiflora",-10,34.5833,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica silvatica",-3.24833,36.7797,"Ericaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Erica mannii subsp. pallidiflora",-8.23333,35.1167,"Ericaceae","tree",1401,"Artificial – Arable Land"
"Erica mannii subsp. pallidiflora",-8.83333,33.3333,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Erica benguelensis var. benguelensis",-4.29694,37.935,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica kingaensis subsp. kingaensis",-9.18333,33.8667,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica silvatica",-9,33.83,"Ericaceae","shrub",1401,"Artificial – Arable Land"
"Erica whyteana",-9.03333,33.9167,"Ericaceae","shrub",1401,"Artificial – Arable Land"
"Erica mannii subsp. pallidiflora",-8.78333,33.25,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Erica benguelensis",-4.31944,37.97,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. usambarensis",-7.5,36.1667,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica kingaensis subsp. kingaensis",-9.16666,33.6667,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica silvatica",-9.03333,33.9167,"Ericaceae","shrub",1401,"Artificial – Arable Land"
"Erica whyteana",-9.08333,33.8333,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. usambarensis",-4.26555,37.9305,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica arborea",-7.75,36.4833,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica kingaensis subsp. kingaensis",-9.16666,33.6667,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. usambarensis",-6.38333,36.9333,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica filago",-3.21166,36.7747,"Ericaceae","herb",407,"Grassland – Subtropical/tropical high altitude"
"Erica arborea",-3.22444,36.7925,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica silvatica",-9.41666,34.05,"Ericaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Erica benguelensis",-4.31944,37.97,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica kingaensis subsp. kingaensis",-9.03333,33.9167,"Ericaceae","shrub",1401,"Artificial – Arable Land"
"Erica benguelensis var. benguelensis",-6.47694,36.9642,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. pallidiflora",-8.83333,33.3333,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Erica rossii",-4.31666,37.9833,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica benguelensis var. benguelensis",-7.68333,36.8667,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica benguelensis",-4.24166,37.975,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. usambarensis",-4.84111,38.4992,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica kingaensis subsp. kingaensis",-9.09083,33.6381,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. usambarensis",-4.26527,37.9308,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. usambarensis",-6.36666,36.9333,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica silvatica",-9,33.7333,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica benguelensis",-4.69389,29.6367,"Ericaceae","shrub",201,"Savanna – Dry"
"Erica benguelensis var. benguelensis",-6.37556,36.9417,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica benguelensis",-4.35638,38.0083,"Ericaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Erica silvatica",-9.05,33.9167,"Ericaceae","shrub",407,"Grassland – Subtropical/tropical high altitude"
"Erica whyteana",-9.05,33.9167,"Ericaceae","shrub",407,"Grassland – Subtropical/tropical high altitude"
"Erica kingaensis subsp. bequaertii",-9.05,33.9167,"Ericaceae","shrub",407,"Grassland – Subtropical/tropical high altitude"
"Erica benguelensis var. benguelensis",-7.10611,36.6433,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica arborea",-3.28333,36.8,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. usambarensis",-7.82055,36.8236,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. usambarensis",-6.8,37.8,"Ericaceae","tree",1404,"Artificial – Rural Gardens"
"Erica mannii subsp. usambarensis",-4.8,38.5,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Erica mannii subsp. usambarensis",-9.13472,33.6683,"Ericaceae","tree",407,"Grassland – Subtropical/tropical high altitude"
"Erica rossii",-3.16666,37.5167,"Ericaceae","tree",1402,"Artificial – Pastureland"
"Erica rossii",-3.2225,36.7847,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica benguelensis var. albescens",-9.28333,33.65,"Ericaceae","shrub",202,"Savanna – Moist"
"Erica silvatica",-9.11027,34.0806,"Ericaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Erica mannii subsp. usambarensis",-4.8,38.5,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Erica mannii subsp. usambarensis",-6.86666,37.7,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica rossii",-4.30138,37.9206,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica mafiensis",-7.83333,39.75,"Ericaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Erica benguelensis var. albescens",-9.07333,33.9719,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica silvatica",-8,35.8333,"Ericaceae","shrub",1404,"Artificial – Rural Gardens"
"Erica mafiensis",-7.91666,39.65,"Ericaceae","shrub",1200,NA
"Erica mannii subsp. usambarensis",-3.24833,36.7797,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Erica mannii subsp. usambarensis",-7.8,36.8667,"Ericaceae","tree",105,"Forest – Subtropical/tropical dry"
"Erica arborea",-3.24833,36.7797,"Ericaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Erica benguelensis var. benguelensis",-9.14528,33.6556,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica benguelensis var. benguelensis",-9.14222,33.6481,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica arborea",-3.25,36.75,"Ericaceae","shrub",600,"Rocky Areas"
"Erica mafiensis",-5.01666,39.8,"Ericaceae","shrub",306,"Shrubland – Subtropical/tropical moist"
"Erica mannii subsp. usambarensis",-6.86666,37.6833,"Ericaceae","tree",201,"Savanna – Dry"
"Erica silvatica",-9.1,33.6667,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. usambarensis",-7.13333,37.6333,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica silvatica",-4.30138,37.9206,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica benguelensis",-4.26555,37.9305,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica mafiensis",-7.83333,39.75,"Ericaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Erica benguelensis",-4.29722,37.9275,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. usambarensis",-6.8,37.8,"Ericaceae","tree",1404,"Artificial – Rural Gardens"
"Erica kingaensis subsp. kingaensis",-9.1,33.6667,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica silvatica",-9.28333,33.6167,"Ericaceae","shrub",1403,"Artificial – Plantations"
"Erica ventricosa",-3.24833,36.7797,"Ericaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Erica mannii subsp. usambarensis",-7.86667,36.8333,"Ericaceae","tree",105,"Forest – Subtropical/tropical dry"
"Erica mannii subsp. usambarensis",-7.13333,37.6333,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erica whyteana",-9.06528,33.8642,"Ericaceae","shrub",1401,"Artificial – Arable Land"
"Erica benguelensis",-4.29722,37.9275,"Ericaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Erica mannii subsp. pallidiflora",-8.23,35.12,"Ericaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Erica rossii",-3.16667,37.5,"Ericaceae","tree",1402,"Artificial – Pastureland"
"Erica rossii",-3.025,37.1833,"Ericaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Eriocaulon burttii",-5.56666,34.2,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon abyssinicum",-8.04806,31.6633,"Eriocaulaceae","herb",1404,"Artificial – Rural Gardens"
"Eriocaulon buchananii",-9.28333,33.6167,"Eriocaulaceae","herb",1403,"Artificial – Plantations"
"Eriocaulon transvaalicum",-8.5,35.25,"Eriocaulaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Eriocaulon schimperi",-9,33.83,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon schimperi",-9.05,33.9167,"Eriocaulaceae","herb",407,"Grassland – Subtropical/tropical high altitude"
"Eriocaulon schimperi",-9.05,33.9167,"Eriocaulaceae","herb",407,"Grassland – Subtropical/tropical high altitude"
"Eriocaulon buchananii",-4.87,35.18,"Eriocaulaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Eriocaulon iringense",-8.51666,35.1667,"Eriocaulaceae","herb",505,"Wetlands (inland) – Permanent freshwater lakes (>8 ha)"
"Eriocaulon iringense",-8.31667,35.2,"Eriocaulaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Eriocaulon elegantulum",-6.15,38.6,"Eriocaulaceae","herb",105,"Forest – Subtropical/tropical dry"
"Eriocaulon elegantulum",-6.15,38.6,"Eriocaulaceae","herb",105,"Forest – Subtropical/tropical dry"
"Eriocaulon transvaalicum subsp. hanningtonii",-7.68333,36.6,"Eriocaulaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Eriocaulon schimperi",-8,35.8333,"Eriocaulaceae","herb",1404,"Artificial – Rural Gardens"
"Eriocaulon strictum",-7.91666,39.65,"Eriocaulaceae","herb",1200,NA
"Eriocaulon bongense",-7.00444,30.9778,"Eriocaulaceae","herb",201,"Savanna – Dry"
"Eriocaulon strictum",-7.94722,39.6919,"Eriocaulaceae","herb",201,"Savanna – Dry"
"Eriocaulon inyangense",-8.59,35.3,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon inyangense",-8.54,35.22,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon schimperi",-9.29,34.78,"Eriocaulaceae","herb",1403,"Artificial – Plantations"
"Eriocaulon laniceps",-5.48,30.53,"Eriocaulaceae","herb",201,"Savanna – Dry"
"Eriocaulon welwitschii",-8.52,31.5,"Eriocaulaceae","aquatic",1401,"Artificial – Arable Land"
"Eriocaulon elegantulum",-5.25,32.72,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon laniceps",-5.08,30.33,"Eriocaulaceae","herb",1403,"Artificial – Plantations"
"Eriocaulon inyangense",-11.22,35.02,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon inyangense",-8.5,35.16,"Eriocaulaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Eriocaulon inyangense",-8.96,33.6,"Eriocaulaceae","herb",1404,"Artificial – Rural Gardens"
"Eriocaulon inyangense",-9.29,33.72,"Eriocaulaceae","herb",105,"Forest – Subtropical/tropical dry"
"Eriocaulon inyangense",-8.42,35.18,"Eriocaulaceae","herb",1403,"Artificial – Plantations"
"Eriocaulon selousii",-7.83,37.08,"Eriocaulaceae","herb",105,"Forest – Subtropical/tropical dry"
"Eriocaulon inyangense",-8.54,35.14,"Eriocaulaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Eriocaulon abyssinicum",-5.97,32.55,"Eriocaulaceae","herb",201,"Savanna – Dry"
"Eriocaulon inyangense",-8.19,35.92,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon schimperi",-8.27,35.72,"Eriocaulaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Eriocaulon inyangense",-8.32,35.21,"Eriocaulaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Eriocaulon inyangense",-9.1,33.65,"Eriocaulaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Eriocaulon inyangense",-10.69,35.54,"Eriocaulaceae","herb",202,"Savanna – Moist"
"Eriocaulon schimperi",-10.55,35.6,"Eriocaulaceae","herb",202,"Savanna – Moist"
"Eriocaulon setaceum",-5.5825,34.065,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon polhillii",-5.61778,34.6728,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon transvaalicum subsp. dembianense",-8.15722,31.5217,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon angustibracteum",-8.13667,35.4108,"Eriocaulaceae","herb",305,"Shrubland – Subtropical/tropical dry"
"Eriocaulon angustibracteum",-8.45056,35.1667,"Eriocaulaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Eriocaulon transvaalicum subsp. dembianense",-5.1,32.6,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon transvaalicum subsp. dembianense",-5.06667,32.9333,"Eriocaulaceae","herb",1404,"Artificial – Rural Gardens"
"Eriocaulon teusczii",-7.48333,30.9667,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon schimperi",-7.07,37.36,"Eriocaulaceae","herb",201,"Savanna – Dry"
"Eriocaulon buchananii",-6.15,32.3333,"Eriocaulaceae","herb",105,"Forest – Subtropical/tropical dry"
"Eriocaulon cinereum",-5.08333,32.65,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Eriocaulon cinereum",-5.96667,32.8,"Eriocaulaceae","herb",201,"Savanna – Dry"
"Eriocaulon stenophyllum",-5.48333,30.5333,"Eriocaulaceae","herb",201,"Savanna – Dry"
"Eriocaulon stenophyllum",-5.48333,30.5333,"Eriocaulaceae","herb",201,"Savanna – Dry"
"Mesanthemum radicans",-1.31667,31.8,"Eriocaulaceae","herb",1404,"Artificial – Rural Gardens"
"Paepalanthus lamarckii",-6.3,32.2,"Eriocaulaceae","herb",201,"Savanna – Dry"
"Paepalanthus lamarckii",-5.88333,32.6333,"Eriocaulaceae","herb",105,"Forest – Subtropical/tropical dry"
"Paepalanthus lamarckii",-5.95,30.9833,"Eriocaulaceae","herb",105,"Forest – Subtropical/tropical dry"
"Syngonanthus angolensis",-8.52,31.5,"Eriocaulaceae","herb",1401,"Artificial – Arable Land"
"Erythroxylum emarginatum",-9.28333,33.6167,"Erythroxylaceae","tree",1403,"Artificial – Plantations"
"Erythroxylum emarginatum",-9.28333,33.6167,"Erythroxylaceae","tree",1403,"Artificial – Plantations"
"Erythroxylum emarginatum",-5.44972,30.5917,"Erythroxylaceae","tree",105,"Forest – Subtropical/tropical dry"
"Erythroxylum emarginatum",-6.01667,37.7,"Erythroxylaceae","tree",105,"Forest – Subtropical/tropical dry"
"Erythroxylum emarginatum",-8.23333,35,"Erythroxylaceae","tree",1401,"Artificial – Arable Land"
"Erythroxylum emarginatum",-10.1814,39.1953,"Erythroxylaceae","tree",105,"Forest – Subtropical/tropical dry"
"Erythroxylum emarginatum",-6.96611,38.8772,"Erythroxylaceae","tree",1403,"Artificial – Plantations"
"Erythroxylum emarginatum",-9.88833,39.4425,"Erythroxylaceae","tree",105,"Forest – Subtropical/tropical dry"
"Erythroxylum emarginatum",-6.82639,36.5808,"Erythroxylaceae","tree",307,"Shrubland – Subtropical/tropical high altitude"
"Erythroxylum emarginatum",-5.44444,30.5905,"Erythroxylaceae","tree",105,"Forest – Subtropical/tropical dry"
"Erythroxylum emarginatum",-8.06055,36.3353,"Erythroxylaceae","tree",105,"Forest – Subtropical/tropical dry"
"Erythroxylum emarginatum",-8.86167,35.0197,"Erythroxylaceae","tree",1401,"Artificial – Arable Land"
"Erythroxylum fischeri",-4.29083,38.0369,"Erythroxylaceae","tree",105,"Forest – Subtropical/tropical dry"
"Erythroxylum emarginatum",-10.1972,39.2003,"Erythroxylaceae","tree",105,"Forest – Subtropical/tropical dry"
"Erythroxylum emarginatum",-4.85805,35.2,"Erythroxylaceae","tree",305,"Shrubland – Subtropical/tropical dry"
"Erythroxylum emarginatum",-8.84388,33.2842,"Erythroxylaceae","tree",109,"Forest – Subtropical/tropical moist montane"
"Erythroxylum emarginatum",-6.03333,38.7833,"Erythroxylaceae","tree",507,"Wetlands (inland) – Permanent freshwater marshes/pools (<8 ha)"
"Erythroxylum emarginatum",-9.01861,39.3819,"Erythroxylaceae","tree",105,"Forest – Subtropical/tropical dry"
"Erythroxylum fischeri",-4.29083,38.0369,"Erythroxylaceae","tree",105,"Forest – Subtropical/tropical dry"
"Erythroxylum emarginatum",-9.53333,34.1167,"Erythroxylaceae","tree",106,"Forest – Subtropical/tropical moist lowland"
