"species"
"chlorophytum silvaticum"
"chlorophytum floribundum"
"chlorophytum amplexicaule"
"chlorophytum sparsiflorum"
"chlorophytum heynei"
"chlorophytum micranthum"
"dracaena mannii"
"dracaena pseudoreflexa"
"dracaena viridiflora"
"dracaena surculosa"
"dracaena elliptica"
"dracaena arborea"
"dracaena butayei"
"dracaena gazaensis"
"dracaena aubryana"
"dracaena nitens"
"eriospermum flagelliforme"
"eriospermum kirkii"
"ornithogalum tenuifolium"
"ornithogalum sordidum"
"ornithogalum ecklonii"
"sansevieria ehrenbergii"
"sansevieria arborescens"
"sansevieria powellii"
"sansevieria kirkii"
"sansevieria conspicua"
"sansevieria volkensii"
"sansevieria fischeri"
"sansevieria robusta"
"sansevieria suffruticosa"
"sansevieria parva"
"sansevieria bracteata"
"sansevieria canaliculata"
"sansevieria gracilis"
"sansevieria bagamoyensis"
"urginea nyasae"
"amauropelta bergiana"
"asplenium lividum"
"asplenium variabile"
"asplenium unilaterale"
"asplenium nidus"
"asplenium lobatum"
"asplenium formosum"
"athyrium scandicinum"
"athyrium annae"
"blechnum ivohibense"
"diplazium ulugurica"
"thelypteris dentatus"
"thelypteris pulcher"
"thelypteris pauciflorus"
"thelypteris pozoi"
"thelypteris opulentum"
"thelypteris hispidulus"
"thelypteris striatus"
"acanthospermum hispidum"
"achillea millefolium"
"achyrocline schimperi"
"achyrothalamus marginatus"
"acmella caulirhiza"
"acmella uliginosa"
"adenostemma viscosum"
"adenostemma perrottetii"
"aedesia glabra"
"ageratum conyzoides"
"ambrosia maritima"
"anisopappus chinensis"
"anisopappus lastii"
"argyranthemum gracile"
"artemisia afra"
"aspilia pluriseta"
"aspilia helianthoides"
"aspilia natalensis"
"aster bakerianus"
"aster tanzaniensis"
"athrixia pulicarioides"
"berkheya zeyheri"
"berkheya discolor"
"bidens pilosa"
"blainvillea acmella"
"carduus leptacanthus"
"carduus nyassanus"
"carduus keniensis"
"chrysanthemoides monilifera"
"cineraria deltoidea"
"cirsium schimperi"
"cirsium buchwaldii"
"conyza tigrensis"
"conyza subscaposa"
"conyza pyrrhopappa"
"conyza welwitschii"
"conyza boranensis"
"conyza steudelii"
"conyza vernonioides"
"conyza aegyptiaca"
"conyza stricta"
"conyza gouanii"
"crassocephalum crepidioides"
"crepis oliveriana"
"cyanthillium vernonioides"
"dicoma sessiliflora"
"dicoma anomala"
"eclipta prostrata"
"edmondia pinifolia"
"emilia caespitosa"
"emilia limosa"
"emilia basifolia"
"emilia integrifolia"
"emilia sonchifolia"
"emilia tricholepis"
"emilia debilis"
"enydra fluctuans"
"erythrocephalum zambesianum"
"ethulia angustifolia"
"eurybia hemispherica"
"euryops chrysanthemoides"
"felicia crenulata"
"felicia welwitschii"
"felicia grantii"
"flaveria trinervia"
"gerbera piloselloides"
"gnaphalium luteo-album"
"gnaphalium oligandrum"
"gnaphalium purpureum"
"grangea zambesiaca"
"guizotia scabra"
"guizotia reptans"
"gutenbergia polytrichotoma"
"gutenbergia oppositifolia"
"gynura pseudochina"
"haplocarpha scaposa"
"helichrysum abietinum"
"helichrysum densiflorum"
"helichrysum panduratum"
"helichrysum stenopterum"
"helichrysum sulfureofuscum"
"helichrysum luteorubellum"
"helichrysum gaharoense"
"helichrysum undulifolium"
"helichrysum setosum"
"helichrysum umbraculigerum"
"helichrysum patulifolium"
"helichrysum cymosum"
"helichrysum foetidum"
"helichrysum herbaceum"
"helichrysum milne-redheadii"
"helichrysum obductum"
"helichrysum longiramum"
"helichrysum aureum"
"helichrysum sulphureofuscum"
"helichrysum cooperi"
"helichrysum rhodolepis"
"hilliardiella aristata"
"hirpicium diffusum"
"hirpicium angustifolium"
"hirpicium antunesii"
"hirpicium gracile"
"hypericophyllum angolense"
"inula klingii"
"inula stuhlmannii"
"inula paniculata"
"inula shirensis"
"inula rungwensis"
"kleinia breviflora"
"lactuca ugandensis"
"lopholaena trianthema"
"macledium poggei"
"melanthera abyssinica"
"melanthera scandens"
"melanthera pungens"
"melanthera richardsiae"
"mikania cordata"
"mikania capensis"
"neojeffreya decurrens"
"nicolasia quinqueseta"
"nidorella auriculata"
"nidorella microcephala"
"nidorella resedifolia"
"pentanema indicum"
"polydora poskeana"
"polydora chloropappa"
"polydora jelfiae"
"polydora serratuloides"
"porphyrostemma grantii"
"porphyrostemma monocephala"
"porphyrostemma chevalieri"
"pseudognaphalium richardianum"
"schistostephium artemisiifolium"
"schkuhria pinnata"
"senecio dentato-alatus"
"senecio purpureus"
"senecio erubescens"
"senecio pergamentaceus"
"senecio pachyrhizus"
"senecio greenwayi"
"senecio strictifolius"
"senecio lyratus"
"senecio milanjianus"
"solanecio mannii"
"solanecio angulatus"
"sonchus oleraceus"
"sonchus asper"
"stoebe kilimandscharica"
"stomatanthes africanus"
"symphyotrichum lateriflorum"
"synedrella nodiflora"
"tripteris volkensii"
"tripteris monocephala"
"tripteris vaillantii"
"vernonia polysphaera"
"vernonia prolixa"
"vernonia ringoetii"
"vernonia lasiopus"
"vernonia stenocephala"
"vernonia hildebrandtii"
"vernonia biafrae"
"vernonia myriantha"
"vernonia nestor"
"vernonia pteropoda"
"vernonia smithiana"
"vernonia amygdalina"
"vernonia schweinfurthii"
"vernonia sunzuensis"
"vernonia turbinella"
"vernonia ugandensis"
"vernonia undulata"
"vernonia gerberiformis"
"vernonia amoena"
"vernonia hymenolepis"
"vernonia karaguensis"
"vernonia melleri"
"vernonia brachycalyx"
"vernonia adoensis"
"vernonia infundibularis"
"vernonia petersii"
"vernonia nyassae"
"vernonia glabra"
"vernonia exsertiflora"
"vernonia anthelmintica"
"vernonia auriculifera"
"vernonia bellinghamii"
"vernonia glaberrima"
"vernonia incompta"
"vernonia oligocephala"
"vernonia sclerophylla"
"vernonia ambigua"
"vernonia cinerascens"
"vernonia tolypophora"
"vernonia ituriensis"
"vernonia wollastonii"
"vernonia thomsoniana"
"vernonia jelfiae"
"vernonia usambarensis"
"vernonia hochstetteri"
"vernonia calyculata"
"vernonia calvoana"
"vernonia ianthina"
"vernonia musofensis"
"vernonia meiostephana"
"vernonia bracteosa"
"vernonia suprafastigiata"
"vernonia amaniensis"
"vernonia cinerea"
"vernonia zanzibarensis"
"vernonia peculiaris"
"vernonia usafuensis"
"vernonia stellulifera"
"vernonia tanganyikensis"
"vernonia gilbertii"
"vernonia paraemulans"
"vernonia albocinerascens"
"viguiera oblongifolia"
"sarcophyte sanguinea"
"basella alba"
"begonia sonderiana"
"begonia spec."
"begonia rostrata"
"begonia rumpiensis"
"markhamia zanzibarica"
"tecoma nyassae"
"tecoma capensis"
"cordia myxa"
"cynoglossopsis latifolia"
"heliotropium indicum"
"heliotropium baclei"
"heliotropium pectinatum"
"heliotropium gorinii"
"hilsenbergia nemoralis"
"hilsenbergia teitensis"
"hilsenbergia petiolaris"
"brassica carinata"
"capsella bursa-pastoris"
"lepidium angolense"
"lepidium africanum"
"burmannia latialata"
"canarium schweinfurtii"
"commiphora madagascarensis"
"buxus acutata"
"lobelia hartlaubii"
"lobelia lasiocalycina"
"lobelia anceps"
"celtis stolzii"
"celtis wightii"
"celtis prantlii"
"celtis gomphophylla"
"celtis soyauxii"
"celtis philippensis"
"boscia angustifolia"
"capparis tenera"
"cladostemon kirkii"
"maerua kaessneri"
"cephalaria leucantha"
"cephalaria alpina"
"scabiosa atropurpurea"
"succisa trichotocephala"
"arenaria foliacea"
"cerastium indicum"
"cerastium arabidis"
"dianthus zeyheri"
