"species"
"asclepias schumanniana"
"asclepias stathmostelmoides"
"aspidoglossum breve"
"aspidoglossum elliotii"
"aspidoglossum interruptum"
"aspidoglossum lanatum"
"brachystelma tanzaniensis"
"caralluma arachnoidea"
"caralluma gracilipes"
"carvalhoa macrophylla"
"cerbera manghas"
"ceropegia ampliata"
"ceropegia aristolochioides"
"ceropegia ballyana"
"ceropegia buchananii"
"ceropegia copleyae"
"ceropegia cordiloba"
"ceropegia denticulata"
"ceropegia exilis"
"ceropegia festucifolia"
"ceropegia filipendula"
"ceropegia floribundior"
"ceropegia furcata"
"ceropegia gracilior"
"ceropegia imbricata"
"ceropegia inornata"
"ceropegia johnsonii"
"ceropegia kituloana"
"ceropegia kituloensis"
"ceropegia lugardiae"
"ceropegia maiuscula"
"ceropegia maritae"
"ceropegia megasepala"
"ceropegia mirabilis"
"ceropegia neoarachnoidea"
"ceropegia nephroloba"
"ceropegia paricyma"
"ceropegia plocamoides"
"ceropegia pseudolugardiae"
"ceropegia purpurascens"
"ceropegia richardsiae"
"ceropegia ringoetii"
"ceropegia rubella"
"ceropegia sankuruensis"
"ceropegia schliebenii"
"ceropegia speciosa"
"ceropegia stenoloba"
"ceropegia tavalla"
"ceropegia tenuissifolia"
"ceropegia umbraticola"
"ceropegia yampwapwa"
"chlorocyathus monteiroae"
"cibirhiza albersiana"
"clitandra cymulosa"
"cryptolepis calophylla"
"cryptolepis ibayana"
"cryptolepis microphylla"
"cynanchum ethiopicum"
"cynanchum gerrardi"
"cynanchum gonoloboides"
"cynanchum insipidum"
"cynanchum ledermannii"
"cynanchum praecox"
"cynanchum revoilii"
"cynanchum stoloniferum"
"cynanchum vanlessenii"
"desmidorchis speciosa"
"echidnopsis leachii"
"echidnopsis repens"
"echidnopsis virchowii"
"edithcolea grandis"
"ephippiocarpa orientalis"
"fockea multiflora"
"funtumia elastica"
"glossostelma cabrae"
"glossostelma ceciliae"
"glossostelma spathulatum"
"gomphocarpus kaessneri"
"gomphocarpus munonquensis"
"gomphocarpus praticola"
"gongronemopsis angolensis"
"gongronemopsis latifolia"
"gymnema sylvestre"
"huernia aspera"
"huernia schneideriana"
"huernia tanganyikensis"
"hunteria zeylanica"
"landolphia eminiana"
"leptadenia lanceolata"
"marsdenia cynanchoides"
"marsdenia taylorii"
"mondia whitei"
"neoschumannia cardinea"
"orbea caudata"
"orbea dummeri"
"orbea schweinfurthii"
"orbea semitubiflora"
"orbea semota"
"orbea subterranea"
"orbea vibratilis"
"oxystelma esculentum"
"pachycarpus bisacculatus"
"pachycarpus grantii"
"pachycarpus pachyglossus"
"pachycarpus petherickianus"
"pachycarpus richardsiae"
"pentatropis nivalis"
"raphionacme grandiflora"
"rauvolfia vomitoria"
