species,decimalLatitude,decimalLongitude,family,a_habit
Asystasia gangetica,-6.95972,39.493,Acanthaceae,herb
Asystasia leptostachya,-1.0675,31.5992,Acanthaceae,herb
Asystasia schliebenii,-6.11667,37.55,Acanthaceae,herb
Asystasia gangetica,-4.94527,38.6894,Acanthaceae,herb
Asystasia gangetica,-4.98722,38.6942,Acanthaceae,herb
Asystasia gangetica,-1.03888,31.5317,Acanthaceae,herb
Asystasia hedbergii,-4.6775,29.6217,Acanthaceae,shrub
Asystasia gangetica,-7.2,37.2167,Acanthaceae,herb
Asystasia gangetica,-1.03888,31.5317,Acanthaceae,herb
Asystasia gangetica,-1.01611,31.6155,Acanthaceae,herb
Asystasia gangetica,-4.68194,29.6228,Acanthaceae,herb
Asystasia minutiflora,-5.1,38.6167,Acanthaceae,herb
Asystasia albiflora,-8.83333,33.3333,Acanthaceae,herb
Asystasia moorei,-5.06139,38.7389,Acanthaceae,herb
Asystasia gangetica,-8.83333,33.3333,Acanthaceae,herb
Asystasia gangetica,-5.06138,38.6328,Acanthaceae,herb
Asystasia gangetica,-8.83333,33.3333,Acanthaceae,herb
Asystasia glandulosa,-8.25,35.0167,Acanthaceae,herb
Asystasia gangetica,-6,37.7167,Acanthaceae,herb
Asystasia gangetica,-4.31833,37.9894,Acanthaceae,herb
Asystasia albiflora,-8.83333,33.3333,Acanthaceae,herb
Asystasia gangetica,-6.28333,38.5667,Acanthaceae,herb
Asystasia gangetica,-1.0425,31.4964,Acanthaceae,herb
Asystasia gangetica,-5.02389,38.6369,Acanthaceae,herb
Asystasia gangetica,-4.6775,29.6217,Acanthaceae,herb
Asystasia leptostachya,-1.10555,31.5769,Acanthaceae,herb
Asystasia vogeliana,-1.10555,31.5769,Acanthaceae,herb
Asystasia gangetica,-7.28333,37.2,Acanthaceae,herb
Asystasia albiflora,-4.69417,29.6233,Acanthaceae,herb
Asystasia gangetica,-1.10555,31.5769,Acanthaceae,herb
Asystasia gangetica,-9.56666,34.1167,Acanthaceae,herb
Asystasia mysurensis,-2.57694,33.4558,Acanthaceae,herb
Asystasia moorei,-4.86389,38.7831,Acanthaceae,herb
Asystasia gangetica,-4.91527,38.7258,Acanthaceae,herb
Asystasia tanzaniensis,-7.01667,37.8167,Acanthaceae,herb
Asystasia gangetica,-3.25,36.75,Acanthaceae,herb
Asystasia minutiflora,-6.06667,37.5167,Acanthaceae,herb
Asystasia moorei,-5.53333,38.6333,Acanthaceae,herb
Asystasia gangetica,-5.53333,38.6333,Acanthaceae,herb
Asystasia gangetica,-6.15,38.6,Acanthaceae,herb
Asystasia albiflora,-8.85,33.2833,Acanthaceae,herb
Asystasia leptostachya,-6.96666,37.85,Acanthaceae,herb
Asystasia moorei,-5.53333,38.6333,Acanthaceae,herb
Asystasia gangetica,-6.96666,38.9,Acanthaceae,herb
Asystasia gangetica,-6.15,38.6,Acanthaceae,herb
Asystasia gangetica,-6.15,38.6,Acanthaceae,herb
Asystasia gangetica,-5.04222,38.4453,Acanthaceae,herb
Asystasia moorei,-4.79917,38.7978,Acanthaceae,herb
Asystasia mysurensis,-4.84166,35.2305,Acanthaceae,herb
Asystasia gangetica subsp. micrantha,-5.01277,38.7597,Acanthaceae,herb
Asystasia gangetica,-5.05972,38.4133,Acanthaceae,herb
Asystasia glandulosa,-4.87888,32.7547,Acanthaceae,herb
Asystasia gangetica,-6.96666,37.85,Acanthaceae,herb
Asystasia gangetica,-7.80555,36.8711,Acanthaceae,herb
Asystasia gangetica,-7.80583,36.6875,Acanthaceae,herb
