species,decimalLatitude,decimalLongitude,family,a_habit
Cyperus involucratus,-8.83333,33.25,Cyperaceae,herb
Cyperus macrostachyos,-8.83333,33.3333,Cyperaceae,herb
Cyperus denudatus var. lucenti-nigricans,-5.42055,30.5825,Cyperaceae,herb
Cyperus tisserantii,-8.58166,31.4908,Cyperaceae,herb
Cyperus distans,-10,34.5667,Cyperaceae,herb
Cyperus tenuifolia,-8.83333,33.3333,Cyperaceae,herb
Cyperus nyererei,-8.83333,33.3333,Cyperaceae,herb
Cyperus aromaticus,-8.41666,35.75,Cyperaceae,herb
Cyperus mollipes,-10.0667,34.5667,Cyperaceae,herb
Cyperus rigidifolius,-3.23333,36.7167,Cyperaceae,herb
Cyperus elegantulus,-7.06583,37.5844,Cyperaceae,herb
Cyperus difformis,-5.48122,30.5814,Cyperaceae,herb
Cyperus rotundus,-9.96667,34.5833,Cyperaceae,herb
Cyperus cyperoides,-9.18333,33.8667,Cyperaceae,herb
Cyperus tenuifolia,-8.83333,33.3333,Cyperaceae,herb
Cyperus amabilis,-8.83333,33.3333,Cyperaceae,herb
Cyperus flavescens,-9.9,34.5333,Cyperaceae,herb
Cyperus margaritaceus,-8.23333,35.1167,Cyperaceae,herb
Cyperus maderaspatanus,-2.59833,33.4411,Cyperaceae,herb
Cyperus angolensis,-8.83333,33.3333,Cyperaceae,herb
Cyperus elegantulus,-9.9,34.5333,Cyperaceae,herb
Cyperus cyperoides,-8.83333,33.3333,Cyperaceae,herb
Cyperus purpureoviridis,-7.75,36.85,Cyperaceae,herb
Cyperus esculentus,-8.51666,35.1667,Cyperaceae,herb
Cyperus distans,-1.03972,31.5108,Cyperaceae,herb
Cyperus cyperoides,-10.0667,34.5333,Cyperaceae,herb
Cyperus cyperoides,-8.83333,33.3333,Cyperaceae,herb
Cyperus margaritaceus,-6.93861,38.8511,Cyperaceae,herb
Cyperus esculentus,-8.83333,33.3333,Cyperaceae,herb
Cyperus tenuiculmis var. guineensis,-10,34.5833,Cyperaceae,herb
Cyperus cyperoides,-9.93333,34.5333,Cyperaceae,herb
Cyperus cyperoides,-8.86666,33.2833,Cyperaceae,herb
Cyperus tanzaniae,-8.83333,33.3333,Cyperaceae,herb
Cyperus denudatus var. denudatus,-8.51667,35.1667,Cyperaceae,herb
Cyperus densicaespitosus,-1.32666,31.7903,Cyperaceae,herb
Cyperus nyererei,-9,33.8333,Cyperaceae,herb
Cyperus zollingeri,-4.98833,38.6939,Cyperaceae,herb
Cyperus albopilosus,-10,34.5833,Cyperaceae,herb
Cyperus niveus,-5.42583,30.5769,Cyperaceae,herb
Cyperus elegantulus,-8.8,33.2833,Cyperaceae,herb
Cyperus fischerianus,-6,37.7167,Cyperaceae,herb
Cyperus macrocarpus,-8.51666,35.1667,Cyperaceae,herb
Cyperus polystachyos,-1.32666,31.7903,Cyperaceae,herb
Cyperus mollipes,-10,34.5833,Cyperaceae,herb
Cyperus colymbetes,-2.55305,33.4003,Cyperaceae,herb
Cyperus squarrosus,-8.83333,33.3333,Cyperaceae,herb
Cyperus macrostachyos,-10.2014,39.1894,Cyperaceae,herb
Cyperus dives,-8.83333,33.3333,Cyperaceae,herb
Cyperus exaltatus,-5.42055,30.5825,Cyperaceae,herb
Cyperus distans,-7.63333,36.2333,Cyperaceae,herb
Cyperus esculentus,-10.05,34.6667,Cyperaceae,herb
Cyperus denudatus,-8.51667,35.1667,Cyperaceae,herb
Cyperus cyperoides,-4.66111,29.6322,Cyperaceae,herb
Cyperus bulbipes,-10.1333,39.2067,Cyperaceae,herb
Cyperus mundtii,-8.83333,33.3333,Cyperaceae,herb
Cyperus niveus var. leucocephalus,-8.23333,35,Cyperaceae,herb
Cyperus mundtii,-8.51666,35.1667,Cyperaceae,herb
Cyperus maranguensis,-4.31833,37.9894,Cyperaceae,herb
Cyperus glaucophyllus,-9.85,34.45,Cyperaceae,herb
Cyperus esculentus,-9.9,34.5333,Cyperaceae,herb
Cyperus sesquiflorus subsp. cylindrica,-9.18333,33.8667,Cyperaceae,herb
Cyperus ciliatopilosus,-8.83333,33.3333,Cyperaceae,herb
Cyperus tenax,-8.91666,34.0833,Cyperaceae,herb
Cyperus squarrosus,-8.83333,33.3333,Cyperaceae,herb
Cyperus keniensis,-9.85,34.45,Cyperaceae,herb
Cyperus distans,-8.61666,35.35,Cyperaceae,herb
Cyperus esculentus,-2.55444,33.3989,Cyperaceae,herb
Cyperus macranthus,-1.32666,31.7903,Cyperaceae,herb
Cyperus muricatus,-8.51667,35.1667,Cyperaceae,herb
Cyperus macrostachyos,-8.83333,33.3333,Cyperaceae,herb
Cyperus pubens,-8.25,35.0167,Cyperaceae,herb
Cyperus elegantulus,-8.83333,33.3333,Cyperaceae,herb
Cyperus glaucophyllus,-9.18333,33.8667,Cyperaceae,herb
Cyperus macrostachyos,-10.1333,39.2067,Cyperaceae,herb
Cyperus laevigatus,-8.9,33.2,Cyperaceae,herb
Cyperus niveus,-1.32666,31.7903,Cyperaceae,herb
Cyperus angolensis,-8.5,35.25,Cyperaceae,herb
Cyperus afrosylvestris,-9.18333,33.8667,Cyperaceae,herb
Cyperus mollipes,-10,34.5833,Cyperaceae,herb
Cyperus alopecuroides,-7.75,36.45,Cyperaceae,herb
Cyperus cyperoides,-10.1814,39.1953,Cyperaceae,herb
Cyperus leptophyllus var. deliciosus,-7.58333,36.1667,Cyperaceae,herb
Cyperus laxus subsp. sylvestris,-8.83333,33.3333,Cyperaceae,herb
Cyperus glaucophyllus,-9.85,34.45,Cyperaceae,herb
Cyperus esculentus,-10,34.5667,Cyperaceae,herb
Cyperus leptophyllus var. deliciosus,-7.58333,36.1667,Cyperaceae,herb
Cyperus amabilis,-10.1814,39.1953,Cyperaceae,herb
Cyperus keniensis,-10,34.5833,Cyperaceae,herb
Cyperus esculentus,-8.51666,35.1667,Cyperaceae,herb
Cyperus bulbipes,-9.9,34.5333,Cyperaceae,herb
Cyperus ajax,-7.11166,36.6411,Cyperaceae,herb
Cyperus kyllingia,-1.14,31.4425,Cyperaceae,herb
Cyperus renschii,-7.68333,36.8667,Cyperaceae,herb
Cyperus sesquiflorus subsp. cylindrica,-7.11166,36.6411,Cyperaceae,herb
Cyperus tisserantii,-8.06666,31.5,Cyperaceae,herb
Cyperus bulbipes,-6.91444,36.6014,Cyperaceae,herb
Cyperus papyrus,-2.55861,33.3978,Cyperaceae,herb
Cyperus amabilis,-4.90611,35.1914,Cyperaceae,herb
Cyperus esculentus,-8.83333,34.6667,Cyperaceae,herb
Cyperus dives,-2.57694,33.4558,Cyperaceae,herb
Cyperus macrostachyos,-2.58027,33.4617,Cyperaceae,herb
Cyperus papyrus,-1.02361,31.6286,Cyperaceae,herb
Cyperus cyperoides,-4.67222,29.6269,Cyperaceae,herb
Cyperus afrosylvestris,-7.11611,36.6772,Cyperaceae,herb
Cyperus esculentus,-2.57694,33.4558,Cyperaceae,herb
Cyperus luteus,-8.96666,33.65,Cyperaceae,herb
Cyperus chrysocephalus,-9.4,34.75,Cyperaceae,herb
Cyperus alternifolius,-9.93638,39.4383,Cyperaceae,herb
Cyperus tanzaniae,-8.83333,33.2667,Cyperaceae,herb
Cyperus comosipes,-8.51666,35.1667,Cyperaceae,herb
Cyperus halpan,-1.06361,31.5467,Cyperaceae,herb
Cyperus tenax,-9.99305,39.3853,Cyperaceae,herb
Cyperus digitatus,-6.28333,38.5667,Cyperaceae,herb
Cyperus mapanioides,-4.66666,29.6333,Cyperaceae,herb
Cyperus tenuifolia,-4.74583,29.6042,Cyperaceae,herb
Cyperus niveus var. leucocephalus,-3.43277,36.0969,Cyperaceae,herb
Cyperus distans,-9.91417,39.5314,Cyperaceae,herb
Cyperus erectus,-10.2239,39.1778,Cyperaceae,herb
Cyperus chinsalensis,-8.5,31.4833,Cyperaceae,herb
Cyperus halpan,-9.99222,39.3875,Cyperaceae,herb
Cyperus hirtellus,-8.51666,35.1667,Cyperaceae,herb
Cyperus cyperoides subsp. cyperoides,-8.06055,36.3353,Cyperaceae,herb
Cyperus distans,-1.14833,31.5214,Cyperaceae,herb
Cyperus distans,-10.2239,39.1778,Cyperaceae,herb
Cyperus dives,-1.02555,31.4205,Cyperaceae,herb
Cyperus difformis,-4.86861,35.3128,Cyperaceae,herb
Cyperus digitatus subsp. auricomus,-8.83333,34.6667,Cyperaceae,herb
Cyperus elegantulus,-2.92,36.215,Cyperaceae,herb
Cyperus distans,-4.86222,35.2036,Cyperaceae,herb
Cyperus difformis,-9.99222,39.3875,Cyperaceae,herb
Cyperus involucratus,-6.565,30.5894,Cyperaceae,herb
Cyperus polystachyos,-9.93194,39.4217,Cyperaceae,herb
Cyperus ajax,-4.26527,37.9308,Cyperaceae,herb
Cyperus aethiops,-10.1833,35.0167,Cyperaceae,herb
Cyperus cyperoides,-8.6,35.6333,Cyperaceae,herb
Cyperus longiinvolucratus,-7.68333,36.8667,Cyperaceae,herb
Cyperus involucratus,-4.31666,38,Cyperaceae,herb
Cyperus macrocarpus,-1.00111,31.5319,Cyperaceae,herb
Cyperus articulatus,-9.93083,39.4111,Cyperaceae,herb
Cyperus ajax,-7.68333,36.8667,Cyperaceae,herb
Cyperus denudatus,-8.3,31.3167,Cyperaceae,herb
Cyperus denudatus,-4.95166,35.1858,Cyperaceae,herb
Cyperus purpureoviridis,-7.11666,36.65,Cyperaceae,herb
Cyperus tenax,-5.17444,34.1894,Cyperaceae,herb
Cyperus cristatus,-7.78333,35.2167,Cyperaceae,herb
Cyperus cyperoides,-7.1,36.65,Cyperaceae,herb
Cyperus dichrostachyus,-7.11167,36.6411,Cyperaceae,herb
Cyperus mundtii,-9.96583,39.5275,Cyperaceae,herb
Cyperus renschii var. renschii,-1.08333,31.4333,Cyperaceae,herb
Cyperus rigidifolius,-4.86222,35.2036,Cyperaceae,herb
Cyperus sphacelatus,-7.11166,36.6411,Cyperaceae,herb
Cyperus pelophilus,-4.6775,29.6217,Cyperaceae,herb
Cyperus cyperoides,-8.51666,35.1667,Cyperaceae,herb
Cyperus rigidifolius,-8.83,33.3,Cyperaceae,herb
Cyperus macrocarpus,-1.02555,31.4205,Cyperaceae,herb
Cyperus afrosylvestris,-8.96666,33.7,Cyperaceae,herb
Cyperus aterrimus,-7.11166,36.6411,Cyperaceae,herb
Cyperus dives,-8.83333,33.2667,Cyperaceae,herb
Cyperus distans,-10.0464,39.4722,Cyperaceae,herb
Cyperus exaltatus,-2.58027,33.4617,Cyperaceae,herb
Cyperus cyperoides,-8.83333,33.2667,Cyperaceae,herb
Cyperus brevifolius,-2.64611,33.4342,Cyperaceae,herb
Cyperus obtusiflorus var. obtusiflorus,-8.51666,35.1667,Cyperaceae,herb
Cyperus involucratus,-2.67222,36.7272,Cyperaceae,herb
Cyperus rigidifolius,-9.05,33.9167,Cyperaceae,herb
Cyperus purpureoviridis,-7.11166,36.6411,Cyperaceae,herb
Cyperus longibracteatus,-7.78333,35.2167,Cyperaceae,herb
Cyperus renschii,-1.14,31.4425,Cyperaceae,herb
Cyperus cyperoides,-6.91444,36.6014,Cyperaceae,herb
Cyperus rigidifolius,-2.86694,36.2164,Cyperaceae,herb
Cyperus amabilis,-4.89888,35.24,Cyperaceae,herb
Cyperus longibracteatus,-3.43277,36.0969,Cyperaceae,herb
Cyperus dives,-9.99222,39.3875,Cyperaceae,herb
Cyperus involucratus,-9.99222,39.3875,Cyperaceae,herb
Cyperus sesquiflorus subsp. cylindrica,-3.23056,36.7167,Cyperaceae,herb
Cyperus nduru,-8.51666,35.1667,Cyperaceae,herb
Cyperus sphacelatus,-4.6775,29.6217,Cyperaceae,herb
Cyperus distans,-10.195,39.23,Cyperaceae,herb
Cyperus brevifolius subsp. intricatus,-1.02555,31.4205,Cyperaceae,herb
Cyperus cristatus,-8.51666,35.1667,Cyperaceae,herb
Cyperus squarrosus,-8.83333,34.6667,Cyperaceae,herb
Cyperus elegantulus,-7.11166,36.6411,Cyperaceae,herb
Cyperus comosipes,-8.83333,33.3,Cyperaceae,herb
Cyperus dichrostachyus,-9.05,33.9167,Cyperaceae,herb
Cyperus tomaiophyllus,-9,33.7,Cyperaceae,herb
Cyperus cyperoides,-8.61888,36.7219,Cyperaceae,herb
Cyperus rotundus,-4.85444,35.2186,Cyperaceae,herb
Cyperus longus,-8.46666,31.35,Cyperaceae,herb
Cyperus ajax,-8.55,35.3167,Cyperaceae,herb
Cyperus digitatus subsp. auricomus,-2.57833,33.4594,Cyperaceae,herb
Cyperus brevifolius subsp. luridus,-2.89222,36.2194,Cyperaceae,herb
Cyperus cyperoides,-4.74583,29.6042,Cyperaceae,herb
Cyperus glaucophyllus,-6.63639,36.9594,Cyperaceae,herb
Cyperus brevifolius subsp. intricatus,-1.03888,31.5344,Cyperaceae,herb
Cyperus denudatus var. lucenti-nigricans,-8.61555,35.6317,Cyperaceae,herb
Cyperus nyererei,-8.83333,33.3,Cyperaceae,herb
Cyperus rotundus,-9.98166,39.3683,Cyperaceae,herb
Cyperus angolensis,-8.3,31.3167,Cyperaceae,herb
Cyperus elegantulus,-9.05,33.9167,Cyperaceae,herb
Cyperus muricatus,-10.1833,35.0167,Cyperaceae,herb
Cyperus involucratus,-2.57694,33.4558,Cyperaceae,herb
Cyperus melanospermus subsp. elatus,-8.55111,36.5031,Cyperaceae,herb
Cyperus longibracteatus,-4.68333,29.6333,Cyperaceae,herb
Cyperus distans,-7.7,36.9167,Cyperaceae,herb
Cyperus erectus,-10.0464,39.4722,Cyperaceae,herb
Cyperus fischerianus,-6.90667,37.6772,Cyperaceae,herb
Cyperus capillifolius,-8.96666,33.65,Cyperaceae,herb
Cyperus difformis,-4.86222,35.2036,Cyperaceae,herb
Cyperus rigidifolius,-10.0167,34.5833,Cyperaceae,herb
Cyperus involucratus,-9.53333,34.1167,Cyperaceae,herb
Cyperus tenax,-9.99305,39.3853,Cyperaceae,herb
Cyperus cristatus,-7.78777,36.8275,Cyperaceae,herb
Cyperus pulchellus,-5.24277,34.4814,Cyperaceae,herb
Cyperus difformis,-2.64611,33.4342,Cyperaceae,herb
Cyperus distans,-4.85444,35.2186,Cyperaceae,herb
Cyperus renschii var. renschii,-4.66666,29.6333,Cyperaceae,herb
Cyperus rotundus,-8.83333,34.6667,Cyperaceae,herb
Cyperus difformis,-8.55111,36.5031,Cyperaceae,herb
Cyperus rigidifolius,-9,33.7,Cyperaceae,herb
Cyperus ajax,-3.30028,36.7289,Cyperaceae,herb
Cyperus rotundus,-8.83333,33.2667,Cyperaceae,herb
Cyperus longus,-9.56666,34.1167,Cyperaceae,herb
Cyperus cyperoides,-1.14,31.4425,Cyperaceae,herb
Cyperus aethiops,-10.1833,35.0167,Cyperaceae,herb
Cyperus niveus var. flavissimus,-8.83333,34.5167,Cyperaceae,herb
Cyperus papyrus,-8.48333,31.5167,Cyperaceae,herb
Cyperus esculentus,-8.83333,33.2667,Cyperaceae,herb
Cyperus nduru,-9.75,34.65,Cyperaceae,herb
Cyperus afrosylvestris,-8.83333,33.3333,Cyperaceae,herb
Cyperus cartilagineus,-5.05,39.05,Cyperaceae,herb
Cyperus cyperoides,-8.51666,35.1667,Cyperaceae,herb
Cyperus elegantulus,-7.06583,37.5844,Cyperaceae,herb
Cyperus bulbipes,-8.51666,35.1667,Cyperaceae,herb
Cyperus circumclusus,-7.63333,36.2333,Cyperaceae,herb
Cyperus glaucophyllus,-9.98333,34.6,Cyperaceae,herb
Cyperus holstii,-7.1,36.65,Cyperaceae,herb
Cyperus stramineoferrugineus,-6.75,37.35,Cyperaceae,herb
Cyperus purpureoviridis,-8.61666,35.35,Cyperaceae,herb
Cyperus longiinvolucratus,-7.13333,37.6333,Cyperaceae,herb
Cyperus esculentus,-8.83333,33.3333,Cyperaceae,herb
Cyperus cyperoides,-10,34.5667,Cyperaceae,herb
Cyperus tenax,-8.25,35.0167,Cyperaceae,herb
Cyperus longiinvolucratus,-7.66667,36.8833,Cyperaceae,herb
Cyperus digitatus,-5.42055,30.5825,Cyperaceae,herb
Cyperus involucratus,-8.83972,33.2375,Cyperaceae,herb
Cyperus flavescens,-8.83333,33.3333,Cyperaceae,herb
Cyperus melanospermus,-8.51667,35.1667,Cyperaceae,herb
Cyperus pulchellus,-5.17916,34.1408,Cyperaceae,herb
Cyperus cyperoides,-2.59833,33.4411,Cyperaceae,herb
Cyperus bulbipes,-4.95167,38.7994,Cyperaceae,herb
Cyperus distans,-1.32666,31.7903,Cyperaceae,herb
Cyperus zollingeri,-6.15,38.6,Cyperaceae,herb
Cyperus grandis,-7.76666,38.0833,Cyperaceae,herb
Cyperus mundtii,-8.78333,33.2833,Cyperaceae,herb
Cyperus renschii,-8.35,38.9333,Cyperaceae,herb
Cyperus endlichii,-3.06667,37.35,Cyperaceae,herb
Cyperus bulbipes,-7.75,36.45,Cyperaceae,herb
Cyperus hemisphaericus,-8.57222,36.5022,Cyperaceae,herb
Cyperus ajax,-8.09416,31.2936,Cyperaceae,herb
Cyperus renschii,-8.35,38.9333,Cyperaceae,herb
Cyperus dubius,-5.86666,38.7667,Cyperaceae,herb
Cyperus exaltatus,-6.15,38.6,Cyperaceae,herb
Cyperus derreilema,-8.59972,35.6255,Cyperaceae,herb
Cyperus kilimandscharicus,-2.90833,36.2225,Cyperaceae,herb
Cyperus difformis,-2.5825,33.415,Cyperaceae,herb
Cyperus rigidifolius,-4.1,37.8,Cyperaceae,herb
Cyperus ajax,-6.93388,36.5803,Cyperaceae,herb
Cyperus pseudohildebrandtii,-5.11666,39.1,Cyperaceae,herb
Cyperus rigidifolius,-5.01667,38.4,Cyperaceae,herb
Cyperus cartilagineus,-6.78333,39.2833,Cyperaceae,herb
Cyperus grandis,-6.8,39.3,Cyperaceae,herb
Cyperus exaltatus,-8.06083,36.3369,Cyperaceae,herb
Cyperus imbricatus,-7,35.8333,Cyperaceae,herb
Cyperus rigidifolius,-5.01667,38.6333,Cyperaceae,herb
Cyperus afrovaricus,-7.5,36.1667,Cyperaceae,herb
Cyperus grandibulbosus,-3.36666,37.0333,Cyperaceae,herb
Cyperus endlichii,-3.88333,37.65,Cyperaceae,herb
Cyperus pulchellus,-6.68944,30.7483,Cyperaceae,herb
Cyperus involucratus,-8.78333,33.25,Cyperaceae,herb
Cyperus distans,-8.56694,36.5,Cyperaceae,herb
Cyperus prolifer,-2.5825,33.415,Cyperaceae,herb
Cyperus polystachyos,-6.89888,31.1864,Cyperaceae,herb
Cyperus bulbipes,-8.57222,36.5022,Cyperaceae,herb
Cyperus derreilema,-8.60611,35.6255,Cyperaceae,herb
Cyperus dives,-7.45333,31.7122,Cyperaceae,herb
Cyperus zollingeri,-6.15,38.6,Cyperaceae,herb
Cyperus cartilagineus,-6.15,38.6,Cyperaceae,herb
Cyperus mapanioides,-8.35,38.9333,Cyperaceae,herb
Cyperus laxus subsp. sylvestris,-8.5,35.25,Cyperaceae,herb
Cyperus hemisphaericus,-6.15,38.6,Cyperaceae,herb
Cyperus rigidifolius,-4.61667,38.3333,Cyperaceae,herb
Cyperus niveus var. leucocephalus,-8.51667,35.1667,Cyperaceae,herb
Cyperus cyperoides subsp. cyperoides,-8.56,36.4939,Cyperaceae,herb
Cyperus laevigatus,-7,35.8333,Cyperaceae,herb
Cyperus niveus,-2.37833,34.8519,Cyperaceae,herb
Cyperus crassipes,-6.03333,38.7833,Cyperaceae,herb
Cyperus cartilagineus,-6.88333,39.15,Cyperaceae,herb
Cyperus purpureoviridis,-6.09861,37.4953,Cyperaceae,herb
Cyperus digitatus,-5.06583,38.4247,Cyperaceae,herb
Cyperus involucratus,-8.35,38.9333,Cyperaceae,herb
Cyperus purpureoviridis,-6.05,37.47,Cyperaceae,herb
Cyperus dives,-6.89888,31.1864,Cyperaceae,herb
Cyperus alopecuroides,-7,35.8333,Cyperaceae,herb
Cyperus cartilagineus,-6.16666,39.4333,Cyperaceae,herb
Cyperus brevifolius subsp. brevifolius,-3.4,36.8333,Cyperaceae,herb
Cyperus laevigatus,-4.30444,37.9955,Cyperaceae,herb
Cyperus cartilagineus,-6.16666,39.4333,Cyperaceae,herb
Cyperus elegantulus,-6.93138,36.5867,Cyperaceae,herb
Cyperus pseudohildebrandtii,-6.78333,39.1833,Cyperaceae,herb
Cyperus involucratus,-6.13361,38.6386,Cyperaceae,herb
Cyperus aureostramineus,-1.04083,31.5581,Cyperaceae,herb
Cyperus cyperoides,-6.98333,37.75,Cyperaceae,herb
Cyperus cristatus,-3.36861,36.6958,Cyperaceae,herb
Cyperus maculatus,-7,35.8333,Cyperaceae,herb
Cyperus articulatus,-4.00305,36.1475,Cyperaceae,herb
Cyperus afrovaricus,-5.25,36.53,Cyperaceae,herb
Cyperus polystachyos,-4.36944,37.9194,Cyperaceae,herb
Cyperus aterrimus,-9.78333,34.5833,Cyperaceae,herb
Cyperus subumbellatus,-5.08333,38.5833,Cyperaceae,herb
Cyperus tenuiculmis,-4.30556,37.9097,Cyperaceae,herb
Cyperus brevifolius,-5.08333,38.5833,Cyperaceae,herb
Cyperus rotundus,-3.36277,36.7003,Cyperaceae,herb
Cyperus exaltatus,-9.13611,39.2736,Cyperaceae,herb
Cyperus foliaceus,-8.4875,36.475,Cyperaceae,herb
Cyperus luteus,-4.79917,38.7978,Cyperaceae,herb
Cyperus brevifolius subsp. brevifolius,-3.38333,36.7833,Cyperaceae,herb
Cyperus holstii,-5.03333,38.3333,Cyperaceae,herb
Cyperus involucratus,-4.66666,29.6333,Cyperaceae,herb
Cyperus pseudoleptocladus,-7.78333,36.8667,Cyperaceae,herb
Cyperus maranguensis,-6.93138,36.5867,Cyperaceae,herb
Cyperus mundtii,-10,39.6833,Cyperaceae,herb
Cyperus cartilagineus,-6.86666,39.4167,Cyperaceae,herb
Cyperus mundtii,-4.3025,37.9964,Cyperaceae,herb
Cyperus grandis,-6.75,39.2333,Cyperaceae,herb
Cyperus alternifolius,-9.13611,39.2736,Cyperaceae,herb
Cyperus grandis,-6.86666,39.2667,Cyperaceae,herb
Cyperus distans,-8.51667,35.1667,Cyperaceae,herb
Cyperus rubicundus,-3.31666,36.6333,Cyperaceae,herb
Cyperus grandis,-4.76667,38.6333,Cyperaceae,herb
Cyperus pinguis,-1.04083,31.5581,Cyperaceae,herb
Cyperus rotundus,-2.85083,36.2064,Cyperaceae,herb
Cyperus compressus,-4.96472,39.8031,Cyperaceae,herb
Cyperus rigidifolius,-4.8,38.5,Cyperaceae,herb
Cyperus pulchellus,-6.89888,31.1864,Cyperaceae,herb
Cyperus laxus subsp. buchholzii,-8.62388,36.6194,Cyperaceae,herb
Cyperus maderaspatanus,-8.55972,36.4928,Cyperaceae,herb
Cyperus purpureoviridis,-7.78333,36.5667,Cyperaceae,herb
Cyperus niveus,-3.4,36.8333,Cyperaceae,herb
Cyperus ajax,-6.92138,36.5758,Cyperaceae,herb
Cyperus obsoletenervosus,-4.55,38.7333,Cyperaceae,herb
Cyperus dives,-3.4,36.8333,Cyperaceae,herb
Cyperus keniensis,-8.60527,35.6192,Cyperaceae,herb
Cyperus denudatus var. lucenti-nigricans,-10.1833,35.0167,Cyperaceae,herb
Cyperus erectus,-9.11694,39.1786,Cyperaceae,herb
Cyperus mundtii,-6.91444,36.5983,Cyperaceae,herb
Cyperus esculentus,-7.8525,36.8778,Cyperaceae,herb
Cyperus pseudohildebrandtii,-5.1,39.0333,Cyperaceae,herb
Cyperus pseudohildebrandtii,-6.81666,39.2,Cyperaceae,herb
Cyperus cartilagineus,-7.83333,39.75,Cyperaceae,herb
Cyperus flavescens subsp. flavescens,-1.04083,31.5581,Cyperaceae,herb
Cyperus pseudohildebrandtii,-6.78333,39.2167,Cyperaceae,herb
Cyperus purpureoviridis,-6.94277,36.565,Cyperaceae,herb
Cyperus difformis,-6.89888,31.1864,Cyperaceae,herb
Cyperus niveus,-6.81666,39.2667,Cyperaceae,herb
Cyperus squarrosus,-4.75139,34.5625,Cyperaceae,herb
Cyperus grandis,-6.76666,39.2,Cyperaceae,herb
Cyperus pseudohildebrandtii,-5.36666,38.8333,Cyperaceae,herb
Cyperus endlichii,-4.88333,38.2833,Cyperaceae,herb
Cyperus melanospermus subsp. elatus,-9.11694,39.1786,Cyperaceae,herb
Cyperus bulbipes,-7.35,37.1167,Cyperaceae,herb
Cyperus amabilis,-4.30638,32.8189,Cyperaceae,herb
Cyperus digitatus,-6.2,38.7,Cyperaceae,herb
Cyperus holstii,-5.35,38.9833,Cyperaceae,herb
Cyperus longiinvolucratus,-4.85,38.3333,Cyperaceae,herb
Cyperus hemisphaericus,-8.56805,36.5203,Cyperaceae,herb
Cyperus involucratus,-6.31666,38.75,Cyperaceae,herb
Cyperus grandis,-6.81666,39.2667,Cyperaceae,herb
Cyperus rigidifolius,-4.85,38.35,Cyperaceae,herb
Cyperus alternifolius,-9.75361,39.5614,Cyperaceae,herb
Cyperus denudatus,-6.89722,38.8128,Cyperaceae,herb
Cyperus rubicundus,-3.38333,36.7833,Cyperaceae,herb
Cyperus distans,-9.11694,39.1786,Cyperaceae,herb
Cyperus meeboldii,-7,35.8333,Cyperaceae,herb
Cyperus cartilagineus,-5.33333,38.95,Cyperaceae,herb
Cyperus ajax,-9.06666,33.6167,Cyperaceae,herb
Cyperus nyererei,-9.08333,33.85,Cyperaceae,herb
Cyperus distans,-9.03333,39.1,Cyperaceae,herb
Cyperus distans,-8.51666,35.1667,Cyperaceae,herb
Cyperus microumbellatus,-10.7,35.4667,Cyperaceae,herb
Cyperus luteus,-6.9,39.0667,Cyperaceae,herb
Cyperus latifolius,-4.28333,37.9167,Cyperaceae,herb
Cyperus laxus subsp. buchholzii,-4.88472,35.1819,Cyperaceae,herb
Cyperus tenuispica,-9.11694,39.1786,Cyperaceae,herb
Cyperus cartilagineus,-6.6,38.95,Cyperaceae,herb
Cyperus pulchellus,-6.81666,38.5333,Cyperaceae,herb
Cyperus rubicundus,-6.81666,39.2667,Cyperaceae,herb
Cyperus pseudohildebrandtii,-6.8,39.2,Cyperaceae,herb
Cyperus grandis,-6.83333,39.25,Cyperaceae,herb
Cyperus difformis,-7.19306,36.8142,Cyperaceae,herb
Cyperus cyperoides subsp. cyperoides,-8.57222,36.5022,Cyperaceae,herb
Cyperus cartilagineus,-5.06666,39.1,Cyperaceae,herb
Cyperus permutatus,-1.00861,31.5,Cyperaceae,herb
Cyperus unioloides,-2.5825,33.415,Cyperaceae,herb
Cyperus grandis,-6.83333,38.8667,Cyperaceae,herb
Cyperus subumbellatus,-8.55055,36.4747,Cyperaceae,herb
Cyperus dubius,-6.96666,38.9,Cyperaceae,herb
Cyperus involucratus,-5.99972,37.7444,Cyperaceae,herb
Cyperus distans,-5.05,38.6333,Cyperaceae,herb
Cyperus rotundus,-6.81666,39.2667,Cyperaceae,herb
Cyperus pelophilus,-7,35.8333,Cyperaceae,herb
Cyperus pseudohildebrandtii,-5.63333,38.9,Cyperaceae,herb
Cyperus dubius,-6.81666,39.2667,Cyperaceae,herb
Cyperus cyperoides,-1.00861,31.5,Cyperaceae,herb
Cyperus amabilis,-6.91444,36.5983,Cyperaceae,herb
Cyperus cartilagineus,-5.43333,38.9833,Cyperaceae,herb
Cyperus distans,-8.56722,36.5017,Cyperaceae,herb
Cyperus amabilis,-4.96472,39.8031,Cyperaceae,herb
Cyperus difformis,-8.56722,36.5017,Cyperaceae,herb
Cyperus holstii,-5.15,39.0833,Cyperaceae,herb
Cyperus pseudohildebrandtii,-6.06666,39.35,Cyperaceae,herb
Cyperus grandis,-5.11666,39.1,Cyperaceae,herb
Cyperus cristatus,-8.51667,35.1667,Cyperaceae,herb
Cyperus pectinatus,-3.6,37.6333,Cyperaceae,herb
Cyperus exaltatus,-8.78333,33.25,Cyperaceae,herb
Cyperus fulgens,-8.60777,35.6167,Cyperaceae,herb
