species,family,genus,order,primary_habit,secondary_habit,n_records,n_coords,mean_lat,mean_lon
Psychotria punctata,Rubiaceae,Psychotria,Gentianales,shrub,NA,165,165,-5.570661696969697,37.583769090909094
Dracaena laxissima,Asparagaceae,Dracaena,Asparagales,shrub,NA,154,154,-6.293314675324675,36.53846168831169
Acalypha ornata,Euphorbiaceae,Acalypha,Malpighiales,shrub,NA,153,153,-6.182740196078432,35.44321503267974
Xymalos monospora,Monimiaceae,Xymalos,Laurales,tree,NA,129,129,-5.354303178294574,36.810727906976744
Dracaena mannii,Asparagaceae,Dracaena,Asparagales,tree,NA,114,114,-7.01057649122807,35.97820877192982
Maesa lanceolata,Primulaceae,Maesa,Ericales,shrub,NA,111,111,-6.371706486486486,35.75248738738739
Combretum molle,Combretaceae,Combretum,Myrtales,tree,NA,110,110,-6.048478363636364,35.20882454545455
Tarenna pavettoides subsp. affinis,Rubiaceae,Tarenna,Gentianales,shrub,NA,109,109,-5.851239541284404,37.83113577981651
Hoslundia opposita,Lamiaceae,Hoslundia,Lamiales,shrub,NA,104,104,-5.750378942307693,36.290959615384615
Scolopia platyphylla,Salicaceae,Scolopia,Malpighiales,tree,NA,101,101,-6.419483267326733,36.015746534653466
Acalypha brachiata,Euphorbiaceae,Acalypha,Malpighiales,herb,NA,98,98,-5.93814,33.932259183673466
Clausena anisata,Rutaceae,Clausena,Sapindales,shrub,NA,98,98,-6.516045918367347,35.63908775510204
Vangueria infausta,Rubiaceae,Vangueria,Gentianales,shrub,NA,97,97,-6.234515051546392,35.51363092783505
Acacia hockii,Fabaceae,Acacia,Fabales,tree,NA,96,96,-5.072837916666667,34.76323125
Monanthotaxis trichocarpa,Annonaceae,Monanthotaxis,Magnoliales,shrub,liana,95,95,-6.168741157894737,38.35295473684211
Acacia polyacantha subsp. campylacantha,Fabaceae,Acacia,Fabales,tree,NA,94,94,-6.160924148936171,35.478220212765954
Aspilia mossambicensis,Asteraceae,Aspilia,Asterales,herb,NA,94,94,-5.753307765957447,35.708579787234044
Uvaria acuminata,Annonaceae,Uvaria,Magnoliales,shrub,NA,94,94,-6.302059255319149,38.67046914893617
Flacourtia indica,Salicaceae,Flacourtia,Malpighiales,tree,NA,86,86,-7.56265011627907,35.16896395348837
Rotheca myricoides subsp. myricoides,Lamiaceae,Rotheca,Lamiales,shrub,NA,84,84,-6.901934404761905,35.010511904761906
Antidesma venosum,Phyllanthaceae,Antidesma,Malpighiales,shrub,NA,83,83,-6.82599578313253,35.98511927710843
Chassalia umbraticola,Rubiaceae,Chassalia,Gentianales,shrub,NA,82,82,-6.982756585365854,38.68594390243902
Ekebergia capensis,Meliaceae,Ekebergia,Sapindales,tree,NA,82,82,-4.884854268292683,35.85555853658536
Psychotria goetzei,Rubiaceae,Psychotria,Gentianales,shrub,NA,81,81,-6.85166049382716,36.907286419753085
Dracaena fragrans,Asparagaceae,Dracaena,Asparagales,shrub,NA,80,80,-4.945278,36.33064125
Tetracera boiviniana,Dilleniaceae,Tetracera,Dilleniales,shrub,NA,79,79,-7.104809113924051,38.93544683544304
Ficus thonningii,Moraceae,Ficus,Rosales,tree,NA,78,78,-5.255939743589743,34.88484230769231
Monanthotaxis buchananii,Annonaceae,Monanthotaxis,Magnoliales,shrub,NA,78,78,-7.275873846153846,37.843051282051285
Vepris simplicifolia,Rutaceae,Vepris,Sapindales,tree,NA,78,78,-4.583472564102564,36.918948717948716
Mystroxylon aethiopicum,Celastraceae,Mystroxylon,Celastrales,shrub,NA,77,77,-6.306442597402597,36.21688961038961
Scorodophloeus fischeri,Fabaceae,Scorodophloeus,Fabales,tree,NA,77,77,-6.0708646753246756,38.61521428571429
Phoenix reclinata,Arecaceae,Phoenix,Arecales,tree,NA,76,76,-5.597803289473684,35.862017105263156
Grandidiera boivinii,Achariaceae,Grandidiera,Malpighiales,shrub,NA,75,75,-6.183716266666667,38.60978133333333
Psorospermum febrifugum,Hypericaceae,Psorospermum,Malpighiales,shrub,NA,75,75,-7.659889333333333,34.762481333333334
Agelaea pentagyna,Connaraceae,Agelaea,Oxalidales,liana,NA,74,74,-5.382359864864865,36.23681891891892
Bridelia micrantha,Phyllanthaceae,Bridelia,Malpighiales,tree,NA,74,74,-6.106587027027027,35.497685135135136
Coffea mufindiensis subsp. mufindiensis,Rubiaceae,Coffea,Gentianales,tree,NA,74,74,-8.056847837837838,35.68362027027027
Dodonaea viscosa,Sapindaceae,Dodonaea,Sapindales,shrub,NA,74,74,-6.682888108108108,36.3998472972973
Mallotus oppositifolius,Euphorbiaceae,Mallotus,Malpighiales,shrub,NA,74,74,-6.167805810810811,37.20887972972973
Chamaecrista mimosoides,Fabaceae,Chamaecrista,Fabales,herb,NA,73,73,-6.385673972602739,35.88718219178082
Hypoestes forskaolii,Acanthaceae,Hypoestes,Lamiales,herb,NA,73,73,-7.0162405479452055,35.64138219178082
Monodora grandidieri,Annonaceae,Monodora,Magnoliales,tree,NA,73,73,-6.435850547945206,38.46036164383562
Piper capense,Piperaceae,Piper,Piperales,shrub,NA,72,72,-6.601922222222222,36.36230277777778
Sorindeia madagascariensis,Anacardiaceae,Sorindeia,Sapindales,tree,NA,72,72,-6.730620972222222,38.11431944444445
Dichapetalum mossambicense,Dichapetalaceae,Dichapetalum,Malpighiales,shrub,NA,71,71,-7.223857746478873,38.95054084507042
Erythrococca usambarica,Euphorbiaceae,Erythrococca,Malpighiales,shrub,NA,71,71,-6.296680281690141,37.8057014084507
Keetia gueinzii,Rubiaceae,Keetia,Gentianales,shrub,liana,71,71,-7.179160422535211,35.035718309859156
Smilax anceps,Smilacaceae,Smilax,Liliales,liana,liana,71,71,-6.580830422535211,34.690314084507044
Acacia nilotica subsp. subalata,Fabaceae,Acacia,Fabales,tree,NA,70,70,-4.828131714285714,36.31813285714286
Dasylepis integra,Achariaceae,Dasylepis,Malpighiales,tree,NA,70,70,-4.6472557142857145,38.25107571428571
Brachystegia spiciformis,Fabaceae,Brachystegia,Fabales,tree,NA,69,69,-7.126953188405797,35.27732753623189
Psychotria capensis subsp. riparia,Rubiaceae,Psychotria,Gentianales,shrub,NA,69,69,-7.522860434782609,35.6269884057971
Salvadora persica,Salvadoraceae,Salvadora,Brassicales,shrub,NA,69,69,-5.314878115942029,37.17344782608696
Diospyros loureiriana subsp. rufescens,Ebenaceae,Diospyros,Ericales,shrub,NA,67,67,-7.081478955223881,38.25557910447761
Harrisonia abyssinica,Rutaceae,Harrisonia,Sapindales,shrub,NA,67,67,-6.56771776119403,37.34251044776119
Markhamia obtusifolia,Bignoniaceae,Markhamia,Lamiales,tree,NA,67,67,-6.594055074626866,35.044244776119406
Rhoicissus tridentata,Vitaceae,Rhoicissus,Vitales,liana,shrub,67,67,-6.704259552238806,35.24548208955224
Ageratum conyzoides,Asteraceae,Ageratum,Asterales,herb,NA,66,66,-5.817501363636364,36.0645
Kraussia kirkii,Rubiaceae,Kraussia,Gentianales,shrub,NA,66,66,-6.703984090909091,38.872277272727274
Uvaria kirkii,Annonaceae,Uvaria,Magnoliales,shrub,NA,65,65,-6.480798307692308,38.989024615384615
Dracaena afromontana,Asparagaceae,Dracaena,Asparagales,shrub,tree,64,64,-6.19778203125,35.412253125
Panicum maximum,Poaceae,Panicum,Poales,herb,NA,64,64,-6.1112128125,35.990771875
Prunus africana,Rosaceae,Prunus,Rosales,tree,NA,64,64,-6.68507578125,35.1418078125
Thunbergia alata,Acanthaceae,Thunbergia,Lamiales,herb,climber,63,63,-5.936099047619048,35.3961
Synaptolepis kirkii,Thymelaeaceae,Synaptolepis,Malvales,shrub,NA,62,62,-6.598955,38.92450161290323
Acacia mellifera subsp. mellifera,Fabaceae,Acacia,Fabales,shrub,NA,61,61,-4.58966,37.4027131147541
Aphloia theiformis,Aphloiaceae,Aphloia,Crossosomatales,tree,NA,61,61,-6.203296229508196,36.641840983606556
Margaritaria discoidea,Phyllanthaceae,Margaritaria,Malpighiales,tree,NA,61,61,-6.623695081967213,36.82530983606557
Parinari curatellifolia,Chrysobalanaceae,Parinari,Malpighiales,tree,NA,61,61,-7.141239672131148,33.59841475409836
Toddalia asiatica,Rutaceae,Toddalia,Sapindales,shrub,liana,61,61,-5.446645737704918,35.774749180327866
Acacia brevispica subsp. brevispica,Fabaceae,Acacia,Fabales,shrub,NA,60,60,-4.317380666666667,35.935765
Galiniera saxifraga,Rubiaceae,Galiniera,Gentianales,shrub,NA,60,60,-7.112636666666667,35.241168333333334
Ixora narcissodora,Rubiaceae,Ixora,Gentianales,shrub,NA,60,60,-7.090893666666666,36.992311666666666
Pavetta stenosepala subsp. stenosepala,Rubiaceae,Pavetta,Gentianales,shrub,NA,60,60,-6.230984833333333,38.349485
Solanum campylacanthum,Solanaceae,Solanum,Solanales,shrub,NA,60,60,-5.2536425,35.977603333333334
Chassalia umbraticola subsp. umbraticola,Rubiaceae,Chassalia,Gentianales,shrub,NA,59,59,-6.968067457627119,38.76686101694915
Adiantum incisum,Dennstaedtiaceae,Adiantum,Polypodiales,herb,NA,58,58,-5.56892224137931,37.76881724137931
Adiantum poiretii,Dennstaedtiaceae,Adiantum,Polypodiales,herb,NA,58,58,-5.883452413793103,35.49135344827586
Asystasia gangetica,Acanthaceae,Asystasia,Lamiales,herb,NA,58,58,-5.577808103448276,35.95455517241379
Clutia abyssinica,Euphorbiaceae,Clutia,Malpighiales,shrub,NA,58,58,-5.085482413793104,36.34558620689655
Combretum pentagonum,Combretaceae,Combretum,Myrtales,liana,NA,58,58,-7.724483103448276,37.62626896551724
Diplorhynchus condylocarpon,Apocynaceae,Diplorhynchus,Gentianales,tree,NA,58,58,-7.3957827586206895,34.305424137931034
Oncoba tettensis var. kirkii,Salicaceae,Oncoba,Malpighiales,shrub,NA,58,58,-7.438857758620689,38.824906896551724
Psychotria lauracea,Rubiaceae,Psychotria,Gentianales,shrub,NA,58,58,-5.958521379310345,37.51775
Blotiella stipitata,Dennstaedtiaceae,Blotiella,Polypodiales,herb,NA,57,57,-5.988106842105263,37.65395438596491
Chassalia parvifolia,Rubiaceae,Chassalia,Gentianales,shrub,NA,57,57,-6.738813157894737,36.846515789473685
Gloriosa simplex,Colchicaceae,Gloriosa,Liliales,herb,climber,57,57,-5.910584561403509,36.2295649122807
Pavetta lynesii,Rubiaceae,Pavetta,Gentianales,shrub,NA,57,57,-8.182814912280701,36.04405964912281
Zanthoxylum deremense,Rutaceae,Zanthoxylum,Sapindales,tree,NA,57,57,-7.545228070175439,36.581019298245614
Allophylus ferrugineus var. ferrugineus,Sapindaceae,Allophylus,Sapindales,shrub,NA,56,56,-4.397009642857143,35.59428928571428
Harungana madagascariensis,Hypericaceae,Harungana,Malpighiales,tree,NA,56,56,-6.131522321428571,35.667425
Rourea orientalis,Connaraceae,Rourea,Oxalidales,shrub,NA,56,56,-7.9014364285714285,37.0578125
Alchornea laxiflora,Euphorbiaceae,Alchornea,Malpighiales,shrub,NA,55,55,-7.728745454545455,36.98640727272727
Annona senegalensis subsp. senegalensis,Annonaceae,Annona,Magnoliales,tree,NA,55,55,-7.013486727272727,36.29176
Azima tetracantha,Salvadoraceae,Azima,Brassicales,shrub,NA,55,55,-5.123355454545455,38.199465454545454
Crossopteryx febrifuga,Rubiaceae,Crossopteryx,Gentianales,tree,NA,55,55,-6.632203818181818,34.626374545454546
Galium brenanii,Rubiaceae,Galium,Gentianales,herb,climber,55,55,-5.719993818181818,37.72882
Holarrhena pubescens,Apocynaceae,Holarrhena,Gentianales,tree,NA,55,55,-7.536631818181818,36.307581818181816
Peponium vogelii,Cucurbitaceae,Peponium,Cucurbitales,vine,NA,55,55,-5.672353272727273,36.49126
Schrebera trichoclada,Oleaceae,Schrebera,Lamiales,tree,NA,55,55,-6.545299818181818,34.29011818181818
Suregada zanzibariensis,Euphorbiaceae,Suregada,Malpighiales,tree,NA,55,55,-7.012234181818182,38.92616363636363
Grewia baillonii,Malvaceae,Grewia,Malvales,NA,NA,54,54,-5.620191111111112,35.89063703703704
Keetia zanzibarica subsp. zanzibarica,Rubiaceae,Keetia,Gentianales,liana,NA,54,54,-6.5948955555555555,38.83057037037037
Paullinia pinnata,Sapindaceae,Paullinia,Sapindales,liana,climber,54,54,-6.430752222222222,35.91492962962963
Psychotria zombamontana,Rubiaceae,Psychotria,Gentianales,shrub,NA,54,54,-8.584976296296297,35.05521296296296
Rapanea melanophloeos,Primulaceae,Rapanea,Ericales,tree,NA,54,54,-6.236285925925926,36.56061296296296
Albizia gummifera,Fabaceae,Albizia,Fabales,tree,NA,53,53,-6.044006037735849,37.120137735849056
Danais xanthorrhoea,Rubiaceae,Danais,Gentianales,liana,climber,53,53,-5.739374905660378,37.96680377358491
Hylodesmum repandum,Fabaceae,Hylodesmum,Fabales,herb,NA,53,53,-5.88495,35.82784150943396
Monanthotaxis fornicata,Annonaceae,Monanthotaxis,Magnoliales,shrub,NA,53,53,-6.016408679245283,38.97691698113208
Oxyanthus pyriformis subsp. tanganyikensis,Rubiaceae,Oxyanthus,Gentianales,tree,NA,53,53,-6.5084758490566035,38.200067924528305
Premna chrysoclada,Lamiaceae,Premna,Lamiales,shrub,NA,53,53,-5.873597924528302,38.77998490566038
Englerina inaequilatera,Loranthaceae,Englerina,Santalales,parasitic,NA,52,52,-8.176043076923078,35.17738653846154
Hibiscus fuscus,Malvaceae,Hibiscus,Malvales,shrub,NA,52,52,-5.158201923076923,35.83648461538461
Nuxia congesta,Stilbaceae,Nuxia,Lamiales,tree,NA,52,52,-5.8110061538461535,35.44174423076923
Rauvolfia volkensii,Apocynaceae,Rauvolfia,Gentianales,shrub,NA,52,52,-4.476529423076923,38.134957692307694
Chassalia discolor subsp. discolor,Rubiaceae,Chassalia,Gentianales,shrub,NA,51,51,-5.576016862745098,37.8841568627451
Gardenia transvenulosa,Rubiaceae,Gardenia,Gentianales,shrub,NA,51,51,-7.482036666666667,38.953396078431375
Indigofera rhynchocarpa var. rhynchocarpa,Fabaceae,Indigofera,Fabales,shrub,NA,51,51,-6.945420392156863,35.08762156862745
Maytenus acuminata,Celastraceae,Maytenus,Celastrales,tree,shrub,51,51,-6.532262352941177,35.7293
Mussaenda arcuata,Rubiaceae,Mussaenda,Gentianales,liana,shrub,51,51,-7.0321541176470586,34.33242549019608
Solanum terminale,Solanaceae,Solanum,Solanales,liana,climber,51,51,-5.96625705882353,36.37772352941177
Triumfetta rhomboidea,Malvaceae,Triumfetta,Malvales,herb,NA,51,51,-6.321713333333333,35.003949019607845
Dicranolepis usambarica,Thymelaeaceae,Dicranolepis,Malvales,shrub,NA,50,50,-6.0165046,37.756444
Gloriosa superba,Colchicaceae,Gloriosa,Liliales,herb,climber,50,50,-5.9713244,36.267476
Oxyanthus speciosus subsp. stenocarpus,Rubiaceae,Oxyanthus,Gentianales,tree,tree,50,50,-7.1262372,35.81819
Podocarpus latifolius,Podocarpaceae,Podocarpus,Pinales,tree,NA,50,50,-6.0608128,36.908828
Psychotria cryptogrammata,Rubiaceae,Psychotria,Gentianales,shrub,NA,50,50,-6.711276,37.294376
Rothmannia engleriana,Rubiaceae,Rothmannia,Gentianales,shrub,NA,50,50,-7.4735404,33.552974
Zehneria scabra,Cucurbitaceae,Zehneria,Cucurbitales,vine,herb,50,50,-6.2701878,35.790820000000004
Acalypha polymorpha,Euphorbiaceae,Acalypha,Malpighiales,herb,NA,49,49,-7.456375510204081,32.706126530612245
Achyranthes aspera,Amaranthaceae,Achyranthes,Caryophyllales,herb,NA,49,49,-5.68098918367347,35.522763265306125
Asparagus setaceus,Asparagaceae,Asparagus,Asparagales,vine,herb,49,49,-6.8493,36.001151020408166
Chassalia albiflora,Rubiaceae,Chassalia,Gentianales,shrub,NA,49,49,-5.171541224489796,38.53589795918367
Crotalaria goodiiformis,Fabaceae,Crotalaria,Fabales,shrub,NA,49,49,-6.53911306122449,38.09226326530612
Friesodielsia obovata,Annonaceae,Friesodielsia,Magnoliales,liana,NA,49,49,-6.420115918367347,33.57258979591837
Pericopsis angolensis,Fabaceae,Pericopsis,Fabales,tree,NA,49,49,-7.141970408163266,33.19871428571429
Psychotria griseola,Rubiaceae,Psychotria,Gentianales,shrub,NA,49,49,-5.448830816326531,38.294200000000004
Setaria sphacelata,Poaceae,Setaria,Poales,herb,NA,49,49,-5.278653877551021,34.47854081632653
Alsodeiopsis schumannii,Icacinaceae,Alsodeiopsis,near Garryales,tree,NA,48,48,-6.129338333333333,37.937322916666666
Dalbergia melanoxylon,Fabaceae,Dalbergia,Fabales,tree,NA,48,48,-6.385534166666667,37.218270833333335
Ficus sur,Moraceae,Ficus,Rosales,tree,NA,48,48,-6.367270625,35.71607083333333
Ochna mossambicensis,Ochnaceae,Ochna,Malpighiales,tree,NA,48,48,-7.038935,37.841370833333336
Psychotria cyathicalyx,Rubiaceae,Psychotria,Gentianales,shrub,NA,48,48,-5.026045625,37.6866875
Rutidea orientalis,Rubiaceae,Rutidea,Gentianales,liana,shrub,48,48,-7.141211875,36.054654166666666
Rytigynia celastroides var. celastroides,Rubiaceae,Rytigynia,Gentianales,shrub,NA,48,48,-6.180513333333334,38.12733958333333
Carvalhoa campanulata,Apocynaceae,Carvalhoa,Gentianales,shrub,NA,47,47,-7.583478085106383,36.65912978723404
Julbernardia globiflora,Fabaceae,Julbernardia,Fabales,tree,NA,47,47,-6.229216170212766,34.17879574468085
Osyris lanceolata,Santalaceae,Osyris,Santalales,shrub,NA,47,47,-6.776202340425532,35.50957659574468
Pavetta hymenophylla,Rubiaceae,Pavetta,Gentianales,shrub,NA,47,47,-6.287362553191489,37.02507446808511
Vitex doniana,Lamiaceae,Vitex,Lamiales,tree,NA,47,47,-7.406150851063829,34.12922340425532
Acacia drepanolobium,Fabaceae,Acacia,Fabales,tree,NA,46,46,-4.288359782608696,35.52004565217391
Baphia kirkii,Fabaceae,Baphia,Fabales,tree,NA,46,46,-6.684556521739131,39.00716956521739
Bridelia cathartica,Phyllanthaceae,Bridelia,Malpighiales,shrub,NA,46,46,-6.883149782608696,36.64545434782609
Chazaliella abrupta,Rubiaceae,Chazaliella,Gentianales,shrub,NA,46,46,-6.9106504347826085,37.811439130434785
Euclea racemosa subsp. schimperi,Ebenaceae,Euclea,Ericales,tree,shrub,46,46,-6.747393695652174,36.441665217391304
Heteromorpha arborescens var. abyssinica,Apiaceae,Heteromorpha,Apiales,shrub,NA,46,46,-7.167196521739131,35.27651521739131
Hymenophyllum kuhnii,Hymenophyllaceae,Hymenophyllum,Hymenophyllales,epiphyte,NA,46,46,-5.337228260869566,37.23057391304348
Mesogyne insignis,Moraceae,Mesogyne,Rosales,tree,NA,46,46,-5.646254565217391,38.339815217391305
Momordica foetida,Cucurbitaceae,Momordica,Cucurbitales,vine,herb,46,46,-6.2580284782608695,35.59087608695652
Pavonia urens,Malvaceae,Pavonia,Malvales,shrub,NA,46,46,-6.357406739130434,35.5943347826087
Rhodopentas bussei,Rubiaceae,Rhodopentas,Gentianales,shrub,herb,46,46,-6.613632391304348,36.603767391304345
Rytigynia decussata,Rubiaceae,Rytigynia,Gentianales,shrub,NA,46,46,-7.318598260869566,38.16442173913043
Coccinia adoensis,Cucurbitaceae,Coccinia,Cucurbitales,vine,herb,45,45,-7.799701777777778,34.94141111111111
Cremaspora triflora subsp. confluens,Rubiaceae,Cremaspora,Gentianales,liana,liana,45,45,-6.573239777777777,38.04688
Crotalaria axillaris,Fabaceae,Crotalaria,Fabales,shrub,NA,45,45,-5.072076666666667,37.77261111111111
Halleria lucida,Stilbaceae,Halleria,Lamiales,tree,NA,45,45,-7.417522,35.83037111111111
Lepidotrichilia volkensii,Meliaceae,Lepidotrichilia,Sapindales,tree,NA,45,45,-6.5667013333333335,35.327395555555555
Psychotria tanganyicensis subsp. tanganyicensis,Rubiaceae,Psychotria,Gentianales,shrub,NA,45,45,-5.956223777777778,37.87004888888889
Searsia pyroides var. pyroides,Anacardiaceae,Searsia,Sapindales,shrub,NA,45,45,-5.918516,34.600946666666665
Synaptolepis alternifolia,Thymelaeaceae,Synaptolepis,Malvales,shrub,NA,45,45,-8.017275777777778,37.66190888888889
Allophylus chaunostachys,Sapindaceae,Allophylus,Sapindales,shrub,NA,44,44,-8.739157727272728,34.98389318181818
Carissa spinarum,Apocynaceae,Carissa,Gentianales,shrub,NA,44,44,-6.428104772727273,35.40449772727273
Pauridiantha paucinervis subsp. holstii,Rubiaceae,Pauridiantha,Gentianales,shrub,NA,44,44,-5.375400909090909,37.619170454545454
Shirakiopsis elliptica,Euphorbiaceae,Shirakiopsis,Malpighiales,tree,NA,44,44,-5.347729090909091,35.97800681818182
Vismia orientalis,Hypericaceae,Vismia,Malpighiales,tree,NA,44,44,-7.334985681818182,38.233375
Vitex mombassae,Lamiaceae,Vitex,Lamiales,tree,NA,44,44,-7.059241590909091,35.32428181818182
Acmella caulirhiza,Asteraceae,Acmella,Asterales,herb,NA,43,43,-5.393569534883721,35.03511162790698
Berberis holstii,Berberidaceae,Berberis,Ranunculales,shrub,NA,43,43,-5.022703255813953,36.8703511627907
Campylospermum scheffleri,Ochnaceae,Campylospermum,Malpighiales,tree,NA,43,43,-6.050180697674419,37.968381395348835
Coptosperma graveolens subsp. graveolens,Rubiaceae,Coptosperma,Gentianales,shrub,NA,43,43,-4.169534186046512,36.40353023255814
Costus afer,Costaceae,Costus,Zingiberales,herb,NA,43,43,-6.383946744186047,37.320279069767444
Crotalaria laburnifolia subsp. laburnifolia,Fabaceae,Crotalaria,Fabales,shrub,NA,43,43,-5.859739302325582,35.7523976744186
Flueggea virosa,Phyllanthaceae,Flueggea,Malpighiales,shrub,NA,43,43,-6.137523720930233,36.62743255813953
Hugonia castaneifolia,Linaceae,Hugonia,Malpighiales,shrub,liana,43,43,-7.0574132558139535,38.16007674418605
Lannea schweinfurthii var. schweinfurthii,Anacardiaceae,Lannea,Sapindales,tree,NA,43,43,-5.405641860465116,37.277823255813956
Ozoroa insignis subsp. reticulata,Anacardiaceae,Ozoroa,Sapindales,tree,NA,43,43,-6.329838139534884,34.2231511627907
Pavetta holstii,Rubiaceae,Pavetta,Gentianales,shrub,NA,43,43,-5.56170488372093,38.15599534883721
Rhamnus prinoides,Rhamnaceae,Rhamnus,Rosales,shrub,NA,43,43,-6.495082093023256,35.820253488372096
Tricalysia pallens,Rubiaceae,Tricalysia,Gentianales,shrub,NA,43,43,-6.816716744186047,36.83255813953488
Ximenia americana var. caffra,Ximeniaceae,Ximenia,Santalales,shrub,NA,43,43,-6.553015813953488,36.11225348837209
Acacia gerrardii subsp. gerrardii,Fabaceae,Acacia,Fabales,tree,NA,42,42,-5.070896666666667,34.816607142857144
Acalypha volkensii,Euphorbiaceae,Acalypha,Malpighiales,shrub,herb,42,42,-4.401136666666667,36.92252380952381
Aganope stuhlmannii,Fabaceae,Aganope,Fabales,tree,NA,42,42,-6.425490476190476,36.48701190476191
Anthocleista grandiflora,Gentianaceae,Anthocleista,Gentianales,tree,NA,42,42,-6.027040476190476,37.06977380952381
Combretum zeyheri,Combretaceae,Combretum,Myrtales,tree,NA,42,42,-6.143497380952381,35.00525238095238
Commelina benghalensis,Commelinaceae,Commelina,Commelinales,herb,NA,42,42,-5.490961904761905,36.016578571428575
Dicranopteris linearis,Gleicheniaceae,Dicranopteris,Gleicheniales,herb,climber,42,42,-6.219271428571428,37.47272619047619
Isolona heinsenii,Annonaceae,Isolona,Magnoliales,tree,NA,42,42,-6.218770714285714,37.90829047619047
Ixora latituba,Rubiaceae,Ixora,Gentianales,shrub,NA,42,42,-7.955317857142857,35.90640714285714
Keetia venosa,Rubiaceae,Keetia,Gentianales,shrub,NA,42,42,-6.618211428571429,36.184192857142854
Phyllanthus nummulariifolius,Phyllanthaceae,Phyllanthus,Malpighiales,herb,NA,42,42,-6.754516428571429,35.73905
Pseudolachnostylis maprouneifolia,Phyllanthaceae,Pseudolachnostylis,Malpighiales,tree,NA,42,42,-7.160122142857143,34.87094285714286
Rubia cordifolia subsp. conotricha,Rubiaceae,Rubia,Gentianales,herb,climber,42,42,-5.883535714285714,35.55887142857143
Securidaca longipedunculata,Polygalaceae,Securidaca,Fabales,shrub,shrub,42,42,-7.747141666666667,34.863769047619044
Senna singueana,Fabaceae,Senna,Fabales,shrub,NA,42,42,-6.369903333333333,35.96960238095238
Syzygium cordatum,Myrtaceae,Syzygium,Myrtales,tree,NA,42,42,-7.3787207142857145,34.90571666666666
Waltheria indica,Malvaceae,Waltheria,Malvales,herb,NA,42,42,-6.2735159523809525,36.198164285714284
Aerva lanata,Amaranthaceae,Aerva,Caryophyllales,herb,NA,41,41,-4.841744878048781,36.1592756097561
Anthospermum usambarense,Rubiaceae,Anthospermum,Gentianales,shrub,NA,41,41,-6.756867317073171,35.658363414634145
Antidesma membranaceum,Phyllanthaceae,Antidesma,Malpighiales,tree,NA,41,41,-7.082688048780487,35.356058536585365
Asplenium aethiopicum,Aspleniaceae,Asplenium,Polypodiales,epiphyte,NA,41,41,-6.440918048780488,35.17314390243902
Ficus exasperata,Moraceae,Ficus,Rosales,tree,NA,41,41,-6.387846097560976,36.6837243902439
Impatiens nana,Balsaminaceae,Impatiens,Ericales,herb,NA,41,41,-5.296326829268293,37.26074634146342
Pavetta schumanniana,Rubiaceae,Pavetta,Gentianales,shrub,NA,41,41,-6.538526829268292,34.384685365853656
Psychotria goetzei var. platyphylla,Rubiaceae,Psychotria,Gentianales,shrub,NA,41,41,-4.80772243902439,38.27419756097561
Rauvolfia mannii,Apocynaceae,Rauvolfia,Gentianales,shrub,NA,41,41,-6.939118780487805,37.19810975609756
Allanblackia stuhlmannii,Clusiaceae,Allanblackia,Malpighiales,tree,NA,40,40,-5.8700322499999995,38.046935
Bersama abyssinica subsp. abyssinica,Melianthaceae,Bersama,Geraniales,tree,shrub,40,40,-6.491755,35.364895000000004
Bidens pilosa,Asteraceae,Bidens,Asterales,herb,NA,40,40,-5.72049025,35.6808425
Cordia africana,Boraginaceae,Cordia,Boraginales,tree,NA,40,40,-5.30921125,35.7621025
Crotalaria laburnoides var. laburnoides,Fabaceae,Crotalaria,Fabales,herb,NA,40,40,-6.57626275,38.642995
Erythrina abyssinica,Fabaceae,Erythrina,Fabales,tree,NA,40,40,-6.65801575,34.07809
Psychotria faucicola,Rubiaceae,Psychotria,Gentianales,shrub,NA,40,40,-6.9604307500000004,37.908625
Pterocarpus angolensis,Fabaceae,Pterocarpus,Fabales,tree,NA,40,40,-7.0329135,34.5922825
Rytigynia uhligii,Rubiaceae,Rytigynia,Gentianales,shrub,NA,40,40,-6.14178975,36.65974
Schlechterina mitostemmatoides,Passifloraceae,Schlechterina,Malpighiales,liana,shrub,40,40,-6.762359,38.797415
Syzygium guineense subsp. guineense,Myrtaceae,Syzygium,Myrtales,tree,NA,40,40,-7.03926075,32.810795
Vernonia lasiopus,Asteraceae,Vernonia,Asterales,shrub,NA,40,40,-4.76558025,36.3686975
Vernonia lasiopus var. iodocalyx,Asteraceae,Vernonia,Asterales,shrub,NA,40,40,-5.49286575,37.51257
Abrus fruticulosus,Fabaceae,Abrus,Fabales,liana,climber,39,39,-5.895655128205128,34.197797435897435
Acalypha ciliata,Euphorbiaceae,Acalypha,Malpighiales,herb,NA,39,39,-5.817549743589743,35.15413846153846
Aneilema aequinoctiale,Commelinaceae,Aneilema,Commelinales,herb,NA,39,39,-6.215681025641025,37.05290769230769
Boehmeria macrophylla,Urticaceae,Boehmeria,Rosales,shrub,NA,39,39,-6.280524102564103,35.35495384615385
Chassalia zimmermannii,Rubiaceae,Chassalia,Gentianales,shrub,NA,39,39,-5.236224102564102,38.35598717948718
Combretum collinum,Combretaceae,Combretum,Myrtales,tree,NA,39,39,-4.937239487179487,33.635674358974356
Commiphora africana,Burseraceae,Commiphora,Sapindales,tree,shrub,39,39,-5.918970256410256,36.60408205128205
