species,family,genus,order,primary_habit,secondary_habit,n_records,n_coords,mean_lat,mean_lon
Eragrostis aethiopica,Poaceae,Eragrostis,Poales,herb,NA,4,4,-6.1259725000000005,36.828725
Eragrostis botryodes,Poaceae,Eragrostis,Poales,herb,NA,4,4,-4.684927500000001,33.3966
Eragrostis gangetica,Poaceae,Eragrostis,Poales,herb,NA,4,4,-6.025,34.15415
Eragrostis homblei,Poaceae,Eragrostis,Poales,herb,NA,4,4,-8.554997499999999,35.399175
Eragrostis schweinfurthii,Poaceae,Eragrostis,Poales,herb,NA,4,4,-5.70854,35.855775
Eragrostis tenella,Poaceae,Eragrostis,Poales,herb,NA,4,4,-7.0124975,38.929175
Eragrostis tremula,Poaceae,Eragrostis,Poales,herb,NA,4,4,-6.4176400000000005,31.807625
Erianthemum commiphorae,Loranthaceae,Erianthemum,Santalales,parasitic,NA,4,4,-6.470485,35.728125
Erica mafiensis,Ericaceae,Erica,Ericales,shrub,NA,4,4,-7.1499950000000005,39.7375
Eriochrysis pallida,Poaceae,Eriochrysis,Poales,herb,NA,4,4,-8.6916625,35.10835
Eriosema ellipticum,Fabaceae,Eriosema,Fabales,shrub,NA,4,4,-9.2163875,33.83435
Eriosema pseudodistinctum,Fabaceae,Eriosema,Fabales,herb,NA,4,4,-8.904155,35.29585
Eriosema stanerianum,Fabaceae,Eriosema,Fabales,shrub,NA,4,4,-4.1233325,31.835124999999998
Erlangea alternifolia,Asteraceae,Erlangea,Asterales,herb,NA,4,4,-5.6827775,35.2934
Erythrina schliebenii,Fabaceae,Erythrina,Fabales,tree,NA,4,4,-9.581735,39.36155
Erythrocephalum minus,Asteraceae,Erythrocephalum,Asterales,herb,NA,4,4,-6.5553425,35.401675
Erythrocephalum scabrifolium,Asteraceae,Erythrocephalum,Asterales,herb,NA,4,4,-5.7471499999999995,32.230825
Erythrococca atrovirens var. atrovirens,Euphorbiaceae,Erythrococca,Malpighiales,shrub,NA,4,4,-7.37083,34.375
Erythrococca polyandra,Euphorbiaceae,Erythrococca,Malpighiales,shrub,NA,4,4,-6.4485425,36.457475
Ethulia acuminata,Asteraceae,Ethulia,Asterales,herb,NA,4,4,-4.259925,34.89595
Ethulia vernonioides subsp. mufindiensis,Asteraceae,Ethulia,Asterales,herb,NA,4,4,-8.5241675,35.15835
Eulophia rosea,Orchidaceae,Eulophia,Asparagales,herb,NA,4,4,-8.46451,35.649325000000005
Euphorbia angustiflora,Euphorbiaceae,Euphorbia,Malpighiales,herb,NA,4,4,-8.199165,33.808324999999996
Euphorbia bisglobosa,Euphorbiaceae,Euphorbia,Malpighiales,herb,NA,4,4,-9.4875,34.830825000000004
Euphorbia candelabrum,Euphorbiaceae,Euphorbia,Malpighiales,tree,NA,4,4,-6.5898825,37.396325000000004
Euphorbia crotonoides,Euphorbiaceae,Euphorbia,Malpighiales,herb,NA,4,4,-4.75904,34.932675
Euphorbia elegantissima,Euphorbiaceae,Euphorbia,Malpighiales,shrub,NA,4,4,-3.4225000000000003,35.71
Euphorbia fischeri,Euphorbiaceae,Euphorbia,Malpighiales,herb,NA,4,4,-6.65,35.0175
Euphorbia heterochroma subsp. heterochroma,Euphorbiaceae,Euphorbia,Malpighiales,shrub,NA,4,4,-3.9125,37.854175
Euphorbia hypericifolia,Euphorbiaceae,Euphorbia,Malpighiales,herb,NA,4,4,-7.2649975,37.609375
Euphorbia neopedunculata,Euphorbiaceae,Euphorbia,Malpighiales,NA,NA,4,4,-9.1541725,33.595825000000005
Euphorbia polycnemoides,Euphorbiaceae,Euphorbia,Malpighiales,herb,NA,4,4,-8.866665000000001,33.26665
Euphorbia pseudolaevis,Euphorbiaceae,Euphorbia,Malpighiales,herb,NA,4,4,-8.9183325,34.199175
Euphorbia pseudomollis,Euphorbiaceae,Euphorbia,Malpighiales,tree,NA,4,4,-5.07238,37.45425
Euphorbia systyloides,Euphorbiaceae,Euphorbia,Malpighiales,herb,NA,4,4,-6.363195,36.2644
Euphorbia tuckeyana,Euphorbiaceae,Euphorbia,Malpighiales,shrub,NA,4,4,-7.3375,36.315
Euphorbia uhligiana,Euphorbiaceae,Euphorbia,Malpighiales,herb,NA,4,4,-3.419165,36.462500000000006
Euphorbia zambesiana var. zambesiana,Euphorbiaceae,Euphorbia,Malpighiales,herb,NA,4,4,-9.1416725,33.6208
Exacum oldenlandioides,Gentianaceae,Exacum,Gentianales,herb,NA,4,4,-6.8958325,37.370824999999996
Exochaenium grande,Gentianaceae,Exochaenium,Gentianales,herb,NA,4,4,-7.02951,33.064425
Fadogia elskensii var. ufipaensis,Rubiaceae,Fadogia,Gentianales,herb,NA,4,4,-7.890000000000001,31.6475
Fadogia verdcourtii var. verdcourtii,Rubiaceae,Fadogia,Gentianales,shrub,NA,4,4,-4.6831949999999996,29.617625
Fadogiella stigmatoloba,Rubiaceae,Fadogiella,Gentianales,shrub,NA,4,4,-8.0960375,33.483275
Faroa pusilla,Gentianaceae,Faroa,Gentianales,herb,NA,4,4,-8.1299975,32.703325
Felicia flava,Asteraceae,Felicia,Asterales,herb,NA,4,4,-4.9206925,35.32325
Fernandoa lutea,Bignoniaceae,Fernandoa,Lamiales,tree,NA,4,4,-10.20835,39.25
Ficus cordata subsp. salicifolia,Moraceae,Ficus,Rosales,tree,NA,4,4,-5.5663875,35.95915
Ficus lingua,Moraceae,Ficus,Rosales,tree,tree,4,4,-4.03701,35.242425
